metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "12.384, 13.867, 11.977, 12.509, 11.497", "s, s, s, s, s"
train metadata time, 62.234, s
train raw read time per epoch, "19.288, 20.538, 20.948, 13.945, 18.051", "s, s, s, s, s"
train total raw read time, 92.770, s
train raw read rate per epoch, "139.361, 130.880, 128.316, 192.763, 148.909", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 148.046, MB/s
train observed time per epoch, "62.064, 72.041, 61.297, 62.239, 72.775", "s, s, s, s, s"
train observed time, 330.415, s
train observed rate per epoch, "44.705, 38.344, 45.283, 44.576, 37.946", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 42.171, MB/s
train throughput samples per second per epoch, "0.677, 0.583, 0.685, 0.675, 0.577", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.639, samples/s
train throughput stdev samples per second, 0.049, samples/s
train io avg, 40.919, MB/s
train io stdev, 3.109, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.946, 3.334, 2.920, 2.732, 2.635", "s, s, s, s, s"
eval metadata time, 14.567, s
eval raw read time per epoch, "4.824, 4.799, 4.788, 3.369, 3.819", "s, s, s, s, s"
eval total raw read time, 21.599, s
eval raw read rate per epoch, "132.561, 132.561, 133.514, 189.780, 166.893", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 151.452, MB/s
eval observed time per epoch, "22.316, 31.746, 40.581, 19.562, 33.040", "s, s, s, s, s"
eval observed time, 147.244, s
eval observed rate per epoch, "30.916, 21.240, 16.424, 35.661, 20.365", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 24.921, MB/s
eval throughput samples per second per epoch, "0.448, 0.315, 0.246, 0.511, 0.303", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.365, samples/s
eval throughput stdev samples per second, 0.099, samples/s
eval io avg, 23.339, MB/s
eval io stdev, 6.317, MB/s
