metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.375, 11.107, 11.070, 10.113, 10.316", "s, s, s, s, s"
train metadata time, 52.982, s
train raw read time per epoch, "10.744, 11.458, 14.232, 13.358, 13.114", "s, s, s, s, s"
train total raw read time, 62.906, s
train raw read rate per epoch, "250.180, 234.603, 188.866, 201.225, 204.972", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 215.969, MB/s
train observed time per epoch, "181.169, 166.131, 159.470, 160.397, 167.378", "s, s, s, s, s"
train observed time, 834.545, s
train observed rate per epoch, "14.997, 16.370, 17.062, 16.963, 16.247", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 16.328, MB/s
train throughput samples per second per epoch, "0.232, 0.253, 0.263, 0.262, 0.251", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.252, samples/s
train throughput stdev samples per second, 0.011, samples/s
train io avg, 16.138, MB/s
train io stdev, 738.536, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "3.385, 3.187, 3.343, 2.907, 2.281", "s, s, s, s, s"
eval metadata time, 15.102, s
eval raw read time per epoch, "2.800, 3.779, 3.931, 3.072, 4.679", "s, s, s, s, s"
eval total raw read time, 18.262, s
eval raw read rate per epoch, "227.928, 168.800, 162.124, 207.900, 136.375", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 181.160, MB/s
eval observed time per epoch, "76.372, 75.781, 84.635, 80.902, 65.452", "s, s, s, s, s"
eval observed time, 383.143, s
eval observed rate per epoch, "8.561, 8.629, 7.708, 8.071, 10.025", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 8.599, MB/s
eval throughput samples per second per epoch, "0.131, 0.132, 0.118, 0.124, 0.153", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.131, samples/s
eval throughput stdev samples per second, 0.012, samples/s
eval io avg, 8.415, MB/s
eval io stdev, 772.049, KB/s
