metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "27.924, 26.455, 25.329, 26.606, 26.865", "s, s, s, s, s"
train metadata time, 133.179, s
train raw read time per epoch, "10.505, 12.594, 15.717, 12.695, 11.799", "s, s, s, s, s"
train total raw read time, 63.310, s
train raw read rate per epoch, "255.882, 213.434, 171.020, 211.738, 227.824", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 215.979, MB/s
train observed time per epoch, "59.217, 62.676, 66.710, 55.877, 61.819", "s, s, s, s, s"
train observed time, 306.299, s
train observed rate per epoch, "46.928, 44.255, 41.499, 49.834, 44.889", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 45.480, MB/s
train throughput samples per second per epoch, "0.709, 0.670, 0.630, 0.752, 0.679", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.688, samples/s
train throughput stdev samples per second, 0.041, samples/s
train io avg, 44.031, MB/s
train io stdev, 2.608, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "7.128, 6.558, 6.602, 6.091, 6.117", "s, s, s, s, s"
eval metadata time, 32.497, s
eval raw read time per epoch, "3.834, 5.164, 5.105, 4.658, 5.459", "s, s, s, s, s"
eval total raw read time, 24.220, s
eval raw read rate per epoch, "166.893, 123.023, 124.931, 137.329, 116.348", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 134.173, MB/s
eval observed time per epoch, "20.890, 33.983, 19.704, 30.235, 32.486", "s, s, s, s, s"
eval observed time, 137.297, s
eval observed rate per epoch, "33.203, 19.772, 35.380, 22.362, 20.731", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 26.290, MB/s
eval throughput samples per second per epoch, "0.479, 0.294, 0.508, 0.331, 0.308", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.384, samples/s
eval throughput stdev samples per second, 0.090, samples/s
eval io avg, 24.563, MB/s
eval io stdev, 5.789, MB/s
