metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.184, 11.603, 12.389, 13.358, 11.706", "s, s, s, s, s"
train metadata time, 60.239, s
train raw read time per epoch, "16.145, 22.064, 16.126, 14.940, 13.785", "s, s, s, s, s"
train total raw read time, 83.061, s
train raw read rate per epoch, "166.495, 121.825, 166.684, 179.916, 194.989", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 165.981, MB/s
train observed time per epoch, "187.296, 189.507, 191.441, 203.075, 139.878", "s, s, s, s, s"
train observed time, 911.197, s
train observed rate per epoch, "14.501, 14.330, 14.184, 13.363, 19.486", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 15.173, MB/s
train throughput samples per second per epoch, "0.224, 0.222, 0.219, 0.207, 0.300", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.234, samples/s
train throughput stdev samples per second, 0.033, samples/s
train io avg, 15.006, MB/s
train io stdev, 2.140, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.758, 2.271, 3.345, 1.942, 2.193", "s, s, s, s, s"
eval metadata time, 11.509, s
eval raw read time per epoch, "5.240, 5.166, 5.446, 4.276, 4.059", "s, s, s, s, s"
eval total raw read time, 24.188, s
eval raw read rate per epoch, "122.070, 123.023, 117.302, 148.772, 157.355", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 134.172, MB/s
eval observed time per epoch, "69.624, 81.473, 104.341, 61.804, 43.813", "s, s, s, s, s"
eval observed time, 361.054, s
eval observed rate per epoch, "9.410, 8.014, 6.229, 10.633, 15.166", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 9.891, MB/s
eval throughput samples per second per epoch, "0.144, 0.123, 0.096, 0.162, 0.228", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.150, samples/s
eval throughput stdev samples per second, 0.045, samples/s
eval io avg, 9.628, MB/s
eval io stdev, 2.858, MB/s
