metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.217, 10.386, 11.689, 10.732, 11.598", "s, s, s, s, s"
train metadata time, 55.622, s
train raw read time per epoch, "18.960, 19.821, 19.224, 18.638, 16.122", "s, s, s, s, s"
train total raw read time, 92.765, s
train raw read rate per epoch, "141.772, 135.612, 139.825, 144.222, 166.727", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 145.632, MB/s
train observed time per epoch, "59.534, 68.464, 79.372, 81.092, 94.113", "s, s, s, s, s"
train observed time, 382.574, s
train observed rate per epoch, "46.670, 40.405, 34.713, 33.959, 29.161", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 36.981, MB/s
train throughput samples per second per epoch, "0.705, 0.613, 0.529, 0.518, 0.446", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.562, samples/s
train throughput stdev samples per second, 0.089, samples/s
train io avg, 35.997, MB/s
train io stdev, 5.698, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.288, 1.939, 2.251, 1.965, 2.227", "s, s, s, s, s"
eval metadata time, 10.671, s
eval raw read time per epoch, "4.816, 4.980, 3.876, 5.204, 4.468", "s, s, s, s, s"
eval total raw read time, 23.344, s
eval raw read rate per epoch, "132.561, 127.792, 164.985, 122.070, 143.051", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 138.549, MB/s
eval observed time per epoch, "25.930, 20.201, 26.820, 41.852, 43.474", "s, s, s, s, s"
eval observed time, 158.277, s
eval observed rate per epoch, "26.320, 34.435, 25.391, 15.905, 15.289", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 23.468, MB/s
eval throughput samples per second per epoch, "0.386, 0.495, 0.373, 0.239, 0.230", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.344, samples/s
eval throughput stdev samples per second, 0.099, samples/s
eval io avg, 22.048, MB/s
eval io stdev, 6.361, MB/s
