metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "8.285, 12.221, 12.731, 10.704, 11.316", "s, s, s, s, s"
train metadata time, 55.257, s
train raw read time per epoch, "12.106, 15.402, 18.384, 12.119, 16.204", "s, s, s, s, s"
train total raw read time, 74.216, s
train raw read rate per epoch, "222.032, 174.522, 146.211, 221.792, 165.884", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 186.088, MB/s
train observed time per epoch, "60.757, 53.599, 56.307, 53.759, 53.974", "s, s, s, s, s"
train observed time, 278.395, s
train observed rate per epoch, "45.699, 52.031, 49.439, 51.870, 51.656", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 50.140, MB/s
train throughput samples per second per epoch, "0.691, 0.784, 0.746, 0.781, 0.778", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.756, samples/s
train throughput stdev samples per second, 0.035, samples/s
train io avg, 48.386, MB/s
train io stdev, 2.250, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.090, 2.484, 2.782, 1.957, 2.879", "s, s, s, s, s"
eval metadata time, 12.192, s
eval raw read time per epoch, "3.838, 4.384, 5.812, 4.309, 3.462", "s, s, s, s, s"
eval total raw read time, 21.805, s
eval raw read rate per epoch, "165.938, 145.912, 109.672, 147.819, 184.059", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 151.246, MB/s
eval observed time per epoch, "19.206, 18.090, 18.768, 17.784, 19.022", "s, s, s, s, s"
eval observed time, 92.870, s
eval observed rate per epoch, "36.382, 38.847, 37.311, 39.582, 36.767", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 37.777, MB/s
eval throughput samples per second per epoch, "0.521, 0.553, 0.533, 0.562, 0.526", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.539, samples/s
eval throughput stdev samples per second, 0.016, samples/s
eval io avg, 34.486, MB/s
eval io stdev, 1.025, MB/s
