metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.727, 10.747, 11.518, 10.331, 12.172", "s, s, s, s, s"
train metadata time, 55.495, s
train raw read time per epoch, "12.240, 14.343, 12.111, 12.960, 13.538", "s, s, s, s, s"
train total raw read time, 65.192, s
train raw read rate per epoch, "219.607, 187.403, 221.947, 207.400, 198.556", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 206.982, MB/s
train observed time per epoch, "111.110, 181.039, 181.551, 150.625, 191.966", "s, s, s, s, s"
train observed time, 816.290, s
train observed rate per epoch, "24.621, 15.008, 14.965, 18.078, 14.145", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 17.363, MB/s
train throughput samples per second per epoch, "0.378, 0.232, 0.231, 0.279, 0.219", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.268, samples/s
train throughput stdev samples per second, 0.059, samples/s
train io avg, 17.139, MB/s
train io stdev, 3.762, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.780, 2.248, 2.205, 2.708, 2.427", "s, s, s, s, s"
eval metadata time, 11.368, s
eval raw read time per epoch, "5.316, 5.248, 4.780, 5.113, 5.454", "s, s, s, s, s"
eval total raw read time, 25.911, s
eval raw read rate per epoch, "120.162, 121.116, 133.514, 124.931, 117.302", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 123.751, MB/s
eval observed time per epoch, "63.829, 66.007, 84.079, 90.078, 63.413", "s, s, s, s, s"
eval observed time, 367.405, s
eval observed rate per epoch, "10.286, 9.938, 7.761, 7.234, 10.355", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 9.115, MB/s
eval throughput samples per second per epoch, "0.157, 0.151, 0.119, 0.111, 0.158", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.139, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 8.906, MB/s
eval io stdev, 1.280, MB/s
