metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "14.243, 17.643, 20.785, 15.675, 14.553", "s, s, s, s, s"
train metadata time, 82.899, s
train raw read time per epoch, "27.919, 52.683, 57.092, 52.965, 27.646", "s, s, s, s, s"
train total raw read time, 218.305, s
train raw read rate per epoch, "96.279, 51.021, 47.081, 50.750, 97.228", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 68.472, MB/s
train observed time per epoch, "68.282, 190.766, 183.077, 157.092, 98.439", "s, s, s, s, s"
train observed time, 697.656, s
train observed rate per epoch, "40.516, 14.234, 14.839, 17.324, 27.854", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 22.953, MB/s
train throughput samples per second per epoch, "0.615, 0.220, 0.229, 0.267, 0.427", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.352, samples/s
train throughput stdev samples per second, 0.151, samples/s
train io avg, 22.511, MB/s
train io stdev, 9.679, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "3.194, 4.510, 3.964, 2.170, 2.819", "s, s, s, s, s"
eval metadata time, 16.658, s
eval raw read time per epoch, "10.221, 20.545, 14.169, 8.272, 14.421", "s, s, s, s, s"
eval total raw read time, 67.627, s
eval raw read rate per epoch, "61.988, 30.518, 44.822, 77.247, 43.868", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 52.138, MB/s
eval observed time per epoch, "41.772, 85.555, 81.307, 38.674, 43.219", "s, s, s, s, s"
eval observed time, 290.526, s
eval observed rate per epoch, "15.937, 7.624, 8.030, 17.270, 15.383", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.849, MB/s
eval throughput samples per second per epoch, "0.239, 0.117, 0.123, 0.259, 0.231", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.194, samples/s
eval throughput stdev samples per second, 0.061, samples/s
eval io avg, 12.405, MB/s
eval io stdev, 3.904, MB/s
