metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.957, 10.936, 11.040, 10.876, 11.142", "s, s, s, s, s"
train metadata time, 55.952, s
train raw read time per epoch, "16.741, 21.986, 21.604, 19.845, 19.358", "s, s, s, s, s"
train total raw read time, 99.534, s
train raw read rate per epoch, "160.564, 122.259, 124.419, 135.452, 138.854", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.310, MB/s
train observed time per epoch, "57.418, 57.515, 56.970, 57.007, 56.401", "s, s, s, s, s"
train observed time, 285.310, s
train observed rate per epoch, "48.449, 48.365, 48.844, 48.812, 49.354", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 48.765, MB/s
train throughput samples per second per epoch, "0.731, 0.730, 0.737, 0.737, 0.745", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.736, samples/s
train throughput stdev samples per second, 0.005, samples/s
train io avg, 47.108, MB/s
train io stdev, 335.104, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.346, 2.023, 2.402, 3.002, 2.072", "s, s, s, s, s"
eval metadata time, 11.845, s
eval raw read time per epoch, "4.994, 4.761, 5.611, 4.562, 5.479", "s, s, s, s, s"
eval total raw read time, 25.407, s
eval raw read rate per epoch, "127.792, 133.514, 113.486, 140.189, 116.348", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 126.745, MB/s
eval observed time per epoch, "18.744, 19.872, 20.557, 18.910, 19.311", "s, s, s, s, s"
eval observed time, 97.394, s
eval observed rate per epoch, "37.363, 35.055, 33.787, 37.004, 36.166", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 35.875, MB/s
eval throughput samples per second per epoch, "0.534, 0.503, 0.486, 0.529, 0.518", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.514, samples/s
eval throughput stdev samples per second, 0.017, samples/s
eval io avg, 32.894, MB/s
eval io stdev, 1.104, MB/s
