metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "12.717, 12.181, 11.917, 10.998, 10.589", "s, s, s, s, s"
train metadata time, 58.403, s
train raw read time per epoch, "19.161, 17.496, 17.541, 15.194, 17.197", "s, s, s, s, s"
train total raw read time, 86.589, s
train raw read rate per epoch, "140.285, 153.631, 153.239, 176.912, 156.310", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 156.075, MB/s
train observed time per epoch, "55.807, 64.013, 56.688, 58.296, 64.240", "s, s, s, s, s"
train observed time, 299.044, s
train observed rate per epoch, "49.898, 43.303, 49.095, 47.694, 43.145", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 46.627, MB/s
train throughput samples per second per epoch, "0.753, 0.656, 0.741, 0.720, 0.654", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.705, samples/s
train throughput stdev samples per second, 0.042, samples/s
train io avg, 45.105, MB/s
train io stdev, 2.685, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.011, 3.703, 2.670, 2.337, 3.953", "s, s, s, s, s"
eval metadata time, 14.675, s
eval raw read time per epoch, "5.306, 4.748, 4.235, 5.801, 5.885", "s, s, s, s, s"
eval total raw read time, 25.974, s
eval raw read rate per epoch, "120.162, 134.468, 150.680, 109.672, 108.719", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 125.124, MB/s
eval observed time per epoch, "21.850, 49.379, 22.993, 33.404, 43.062", "s, s, s, s, s"
eval observed time, 170.688, s
eval observed rate per epoch, "31.627, 13.398, 29.938, 20.133, 15.441", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 22.107, MB/s
eval throughput samples per second per epoch, "0.458, 0.203, 0.435, 0.299, 0.232", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.325, samples/s
eval throughput stdev samples per second, 0.104, samples/s
eval io avg, 20.821, MB/s
eval io stdev, 6.647, MB/s
