metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.979, 12.573, 11.171, 12.386, 10.756", "s, s, s, s, s"
train metadata time, 58.864, s
train raw read time per epoch, "15.769, 13.208, 12.768, 11.440, 11.325", "s, s, s, s, s"
train total raw read time, 64.510, s
train raw read rate per epoch, "170.465, 203.509, 210.529, 234.960, 237.355", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 211.363, MB/s
train observed time per epoch, "58.883, 64.291, 64.853, 58.324, 75.272", "s, s, s, s, s"
train observed time, 321.623, s
train observed rate per epoch, "47.203, 43.108, 42.724, 47.671, 36.653", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 43.472, MB/s
train throughput samples per second per epoch, "0.713, 0.653, 0.648, 0.720, 0.558", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.658, samples/s
train throughput stdev samples per second, 0.058, samples/s
train io avg, 42.141, MB/s
train io stdev, 3.736, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.786, 2.796, 2.562, 2.376, 2.469", "s, s, s, s, s"
eval metadata time, 12.989, s
eval raw read time per epoch, "3.600, 2.917, 4.103, 3.980, 3.529", "s, s, s, s, s"
eval total raw read time, 18.129, s
eval raw read rate per epoch, "177.383, 219.345, 155.448, 160.217, 181.197", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 179.064, MB/s
eval observed time per epoch, "23.881, 27.984, 32.560, 18.666, 18.535", "s, s, s, s, s"
eval observed time, 121.626, s
eval observed rate per epoch, "28.742, 24.271, 20.681, 37.535, 37.825", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 29.811, MB/s
eval throughput samples per second per epoch, "0.419, 0.357, 0.307, 0.536, 0.540", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.432, samples/s
eval throughput stdev samples per second, 0.093, samples/s
eval io avg, 27.628, MB/s
eval io stdev, 5.980, MB/s
