metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "10.484, 9.815, 10.950, 10.681, 9.915", "s, s, s, s, s"
train metadata time, 51.844, s
train raw read time per epoch, "13.251, 12.425, 11.595, 11.930, 12.118", "s, s, s, s, s"
train total raw read time, 61.318, s
train raw read rate per epoch, "169.047, 180.286, 193.192, 187.762, 184.848", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 183.027, MB/s
train observed time per epoch, "49.333, 47.219, 49.174, 45.544, 48.337", "s, s, s, s, s"
train observed time, 239.607, s
train observed rate per epoch, "46.942, 49.118, 47.099, 50.990, 47.943", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 48.419, MB/s
train throughput samples per second per epoch, "0.709, 0.741, 0.712, 0.768, 0.724", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.731, samples/s
train throughput stdev samples per second, 0.022, samples/s
train io avg, 46.784, MB/s
train io stdev, 1.399, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.606, 2.399, 3.150, 2.441, 2.364", "s, s, s, s, s"
eval metadata time, 12.960, s
eval raw read time per epoch, "3.525, 4.087, 5.679, 2.835, 3.117", "s, s, s, s, s"
eval total raw read time, 19.244, s
eval raw read rate per epoch, "144.958, 124.931, 89.645, 180.244, 164.031", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 141.099, MB/s
eval observed time per epoch, "14.921, 14.663, 15.526, 14.530, 16.287", "s, s, s, s, s"
eval observed time, 75.927, s
eval observed rate per epoch, "37.566, 38.291, 35.969, 38.677, 34.144", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 36.930, MB/s
eval throughput samples per second per epoch, "0.536, 0.546, 0.515, 0.551, 0.491", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.528, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 33.775, MB/s
eval io stdev, 1.403, MB/s
