metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "9.996, 9.958, 11.902, 10.374, 10.659", "s, s, s, s, s"
train metadata time, 52.889, s
train raw read time per epoch, "7.309, 11.580, 13.127, 13.607, 12.129", "s, s, s, s, s"
train total raw read time, 57.752, s
train raw read rate per epoch, "306.477, 193.442, 170.637, 164.619, 184.686", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 203.973, MB/s
train observed time per epoch, "52.626, 46.126, 46.650, 49.272, 48.212", "s, s, s, s, s"
train observed time, 242.886, s
train observed rate per epoch, "43.911, 50.324, 49.738, 47.002, 48.071", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.810, MB/s
train throughput samples per second per epoch, "0.665, 0.759, 0.750, 0.710, 0.726", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.722, samples/s
train throughput stdev samples per second, 0.033, samples/s
train io avg, 46.213, MB/s
train io stdev, 2.131, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "3.200, 2.203, 2.770, 2.763, 2.848", "s, s, s, s, s"
eval metadata time, 13.784, s
eval raw read time per epoch, "2.255, 2.210, 3.979, 4.641, 2.858", "s, s, s, s, s"
eval total raw read time, 15.943, s
eval raw read rate per epoch, "226.974, 230.789, 127.792, 109.672, 178.337", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 175.382, MB/s
eval observed time per epoch, "15.884, 16.112, 14.967, 15.831, 16.270", "s, s, s, s, s"
eval observed time, 79.064, s
eval observed rate per epoch, "35.088, 34.546, 37.439, 35.216, 34.183", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 35.295, MB/s
eval throughput samples per second per epoch, "0.504, 0.497, 0.535, 0.505, 0.492", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.506, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 32.405, MB/s
eval io stdev, 977.627, KB/s
