metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "10.980, 10.342, 10.721, 9.952, 9.861", "s, s, s, s, s"
train metadata time, 51.855, s
train raw read time per epoch, "12.124, 11.129, 12.165, 11.518, 15.138", "s, s, s, s, s"
train total raw read time, 62.074, s
train raw read rate per epoch, "184.750, 201.277, 184.141, 194.477, 147.968", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 182.522, MB/s
train observed time per epoch, "50.393, 69.451, 60.313, 66.812, 68.185", "s, s, s, s, s"
train observed time, 315.153, s
train observed rate per epoch, "45.922, 33.021, 38.161, 34.357, 33.648", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 37.021, MB/s
train throughput samples per second per epoch, "0.695, 0.504, 0.580, 0.524, 0.513", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.563, samples/s
train throughput stdev samples per second, 0.071, samples/s
train io avg, 36.044, MB/s
train io stdev, 4.533, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.142, 3.795, 2.842, 3.704, 2.923", "s, s, s, s, s"
eval metadata time, 15.405, s
eval raw read time per epoch, "4.018, 4.330, 2.980, 2.911, 3.788", "s, s, s, s, s"
eval total raw read time, 18.027, s
eval raw read rate per epoch, "126.838, 117.302, 171.661, 175.476, 134.468", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 145.712, MB/s
eval observed time per epoch, "15.550, 38.455, 41.976, 29.095, 28.361", "s, s, s, s, s"
eval observed time, 153.438, s
eval observed rate per epoch, "35.909, 13.776, 12.584, 18.415, 18.914", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.920, MB/s
eval throughput samples per second per epoch, "0.514, 0.208, 0.191, 0.275, 0.282", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.294, samples/s
eval throughput stdev samples per second, 0.116, samples/s
eval io avg, 18.817, MB/s
eval io stdev, 7.419, MB/s
