metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "9.392, 10.171, 10.236, 9.544, 8.801", "s, s, s, s, s"
train metadata time, 48.143, s
train raw read time per epoch, "9.667, 12.469, 13.316, 13.949, 11.718", "s, s, s, s, s"
train total raw read time, 61.118, s
train raw read rate per epoch, "231.720, 179.652, 168.224, 160.590, 191.153", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 186.268, MB/s
train observed time per epoch, "44.192, 57.496, 64.429, 59.097, 66.467", "s, s, s, s, s"
train observed time, 291.680, s
train observed rate per epoch, "52.610, 40.085, 35.660, 38.969, 34.540", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 40.373, MB/s
train throughput samples per second per epoch, "0.792, 0.609, 0.543, 0.592, 0.527", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.613, samples/s
train throughput stdev samples per second, 0.095, samples/s
train io avg, 39.203, MB/s
train io stdev, 6.060, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.599, 1.878, 1.423, 1.180, 1.514", "s, s, s, s, s"
eval metadata time, 7.595, s
eval raw read time per epoch, "3.343, 3.305, 4.124, 3.707, 3.023", "s, s, s, s, s"
eval total raw read time, 17.501, s
eval raw read rate per epoch, "152.588, 154.495, 123.978, 137.329, 168.800", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 147.948, MB/s
eval observed time per epoch, "15.882, 14.273, 29.317, 23.848, 29.454", "s, s, s, s, s"
eval observed time, 112.773, s
eval observed rate per epoch, "35.093, 39.443, 18.269, 22.699, 18.181", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 26.736, MB/s
eval throughput samples per second per epoch, "0.504, 0.561, 0.273, 0.335, 0.272", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.389, samples/s
eval throughput stdev samples per second, 0.121, samples/s
eval io avg, 24.885, MB/s
eval io stdev, 7.717, MB/s
