metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "11.704, 10.096, 10.546, 10.667, 9.502", "s, s, s, s, s"
train metadata time, 52.516, s
train raw read time per epoch, "12.184, 10.480, 12.766, 12.257, 8.962", "s, s, s, s, s"
train total raw read time, 56.649, s
train raw read rate per epoch, "183.849, 213.742, 175.472, 182.753, 249.933", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 201.149, MB/s
train observed time per epoch, "71.101, 69.792, 64.358, 63.532, 64.659", "s, s, s, s, s"
train observed time, 333.443, s
train observed rate per epoch, "32.236, 32.855, 35.701, 36.177, 35.530", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 34.500, MB/s
train throughput samples per second per epoch, "0.492, 0.501, 0.544, 0.551, 0.541", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.526, samples/s
train throughput stdev samples per second, 0.024, samples/s
train io avg, 33.661, MB/s
train io stdev, 1.544, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.402, 2.952, 2.282, 2.643, 2.580", "s, s, s, s, s"
eval metadata time, 12.859, s
eval raw read time per epoch, "3.358, 3.224, 2.771, 3.283, 2.461", "s, s, s, s, s"
eval total raw read time, 15.097, s
eval raw read rate per epoch, "151.634, 158.310, 184.059, 155.448, 207.900", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 172.008, MB/s
eval observed time per epoch, "31.835, 23.787, 37.643, 36.893, 38.798", "s, s, s, s, s"
eval observed time, 168.956, s
eval observed rate per epoch, "16.763, 22.760, 14.084, 14.381, 13.650", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.328, MB/s
eval throughput samples per second per epoch, "0.251, 0.336, 0.213, 0.217, 0.206", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.245, samples/s
eval throughput stdev samples per second, 0.048, samples/s
eval io avg, 15.656, MB/s
eval io stdev, 3.100, MB/s
