metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "10.564, 10.158, 10.009, 10.713, 9.958", "s, s, s, s, s"
train metadata time, 51.402, s
train raw read time per epoch, "13.244, 14.570, 11.800, 13.353, 12.055", "s, s, s, s, s"
train total raw read time, 65.021, s
train raw read rate per epoch, "169.139, 153.740, 189.826, 167.757, 185.817", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 173.256, MB/s
train observed time per epoch, "73.252, 81.023, 80.801, 80.642, 101.912", "s, s, s, s, s"
train observed time, 417.629, s
train observed rate per epoch, "31.269, 28.208, 28.287, 28.345, 22.333", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.688, MB/s
train throughput samples per second per epoch, "0.478, 0.432, 0.433, 0.434, 0.343", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.424, samples/s
train throughput stdev samples per second, 0.044, samples/s
train io avg, 27.141, MB/s
train io stdev, 2.809, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.318, 2.244, 2.575, 2.628, 2.108", "s, s, s, s, s"
eval metadata time, 11.873, s
eval raw read time per epoch, "3.923, 3.762, 3.185, 3.657, 2.347", "s, s, s, s, s"
eval total raw read time, 16.875, s
eval raw read rate per epoch, "129.699, 135.421, 160.217, 139.236, 217.438", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 157.100, MB/s
eval observed time per epoch, "25.116, 30.363, 32.738, 25.039, 26.461", "s, s, s, s, s"
eval observed time, 139.717, s
eval observed rate per epoch, "21.490, 17.611, 16.281, 21.561, 20.342", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.457, MB/s
eval throughput samples per second per epoch, "0.319, 0.263, 0.244, 0.320, 0.302", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.290, samples/s
eval throughput stdev samples per second, 0.030, samples/s
eval io avg, 18.536, MB/s
eval io stdev, 1.945, MB/s
