metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "7.900, 7.320, 7.167, 7.490, 6.619", "s, s, s, s, s"
train metadata time, 36.495, s
train raw read time per epoch, "9.987, 10.251, 10.873, 11.861, 11.609", "s, s, s, s, s"
train total raw read time, 54.581, s
train raw read rate per epoch, "224.297, 218.510, 206.014, 188.853, 192.950", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 206.125, MB/s
train observed time per epoch, "39.957, 39.378, 40.418, 38.865, 41.177", "s, s, s, s, s"
train observed time, 199.795, s
train observed rate per epoch, "58.422, 59.316, 57.728, 60.134, 56.619", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 58.443, MB/s
train throughput samples per second per epoch, "0.876, 0.889, 0.866, 0.901, 0.850", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.876, samples/s
train throughput stdev samples per second, 0.018, samples/s
train io avg, 56.080, MB/s
train io stdev, 1.124, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.138, 2.118, 1.876, 1.465, 1.374", "s, s, s, s, s"
eval metadata time, 8.971, s
eval raw read time per epoch, "2.549, 2.595, 1.675, 3.204, 2.402", "s, s, s, s, s"
eval total raw read time, 12.426, s
eval raw read rate per epoch, "200.271, 196.456, 305.176, 159.263, 212.669", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 215.342, MB/s
eval observed time per epoch, "12.750, 12.919, 12.109, 12.849, 12.156", "s, s, s, s, s"
eval observed time, 62.783, s
eval observed rate per epoch, "44.685, 44.037, 47.333, 44.302, 47.127", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.496, MB/s
eval throughput samples per second per epoch, "0.627, 0.619, 0.661, 0.623, 0.658", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.638, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 40.808, MB/s
eval io stdev, 1.150, MB/s
