metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "10.647, 10.515, 10.799, 8.274, 8.890", "s, s, s, s, s"
train metadata time, 49.124, s
train raw read time per epoch, "9.552, 9.108, 9.609, 11.711, 11.688", "s, s, s, s, s"
train total raw read time, 51.667, s
train raw read rate per epoch, "234.518, 245.928, 233.119, 191.280, 191.650", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 219.299, MB/s
train observed time per epoch, "49.609, 64.435, 83.867, 68.337, 69.812", "s, s, s, s, s"
train observed time, 336.060, s
train observed rate per epoch, "46.672, 35.657, 27.233, 33.571, 32.846", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 35.196, MB/s
train throughput samples per second per epoch, "0.706, 0.543, 0.417, 0.512, 0.501", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.536, samples/s
train throughput stdev samples per second, 0.094, samples/s
train io avg, 34.298, MB/s
train io stdev, 6.047, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.650, 3.680, 2.211, 2.586, 3.337", "s, s, s, s, s"
eval metadata time, 14.463, s
eval raw read time per epoch, "2.896, 2.579, 3.638, 3.512, 3.261", "s, s, s, s, s"
eval total raw read time, 15.886, s
eval raw read rate per epoch, "176.430, 198.364, 140.189, 144.958, 156.402", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 163.762, MB/s
eval observed time per epoch, "25.510, 15.120, 29.372, 28.275, 43.078", "s, s, s, s, s"
eval observed time, 141.355, s
eval observed rate per epoch, "21.141, 37.025, 18.233, 18.975, 12.252", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 21.525, MB/s
eval throughput samples per second per epoch, "0.314, 0.529, 0.272, 0.283, 0.186", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.317, samples/s
eval throughput stdev samples per second, 0.114, samples/s
eval io avg, 20.271, MB/s
eval io stdev, 7.318, MB/s
