metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "7.224, 6.517, 7.029, 7.438, 6.548", "s, s, s, s, s"
train metadata time, 34.756, s
train raw read time per epoch, "10.106, 10.375, 11.319, 10.162, 10.172", "s, s, s, s, s"
train total raw read time, 52.134, s
train raw read rate per epoch, "221.643, 215.906, 197.896, 220.438, 220.202", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 215.217, MB/s
train observed time per epoch, "40.953, 39.966, 39.200, 39.583, 40.044", "s, s, s, s, s"
train observed time, 199.746, s
train observed rate per epoch, "56.941, 58.407, 59.598, 58.996, 58.289", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 58.446, MB/s
train throughput samples per second per epoch, "0.855, 0.876, 0.893, 0.884, 0.874", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.876, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 56.083, MB/s
train io stdev, 834.896, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.431, 1.951, 1.571, 1.834, 1.664", "s, s, s, s, s"
eval metadata time, 8.452, s
eval raw read time per epoch, "2.226, 2.099, 2.719, 2.039, 2.678", "s, s, s, s, s"
eval total raw read time, 11.762, s
eval raw read rate per epoch, "229.835, 243.187, 187.873, 250.815, 190.734", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 220.892, MB/s
eval observed time per epoch, "11.773, 11.821, 14.015, 12.311, 12.689", "s, s, s, s, s"
eval observed time, 62.608, s
eval observed rate per epoch, "48.852, 48.627, 40.243, 46.466, 44.925", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.822, MB/s
eval throughput samples per second per epoch, "0.680, 0.677, 0.571, 0.650, 0.630", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.641, samples/s
eval throughput stdev samples per second, 0.040, samples/s
eval io avg, 41.055, MB/s
eval io stdev, 2.539, MB/s
