metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "8.632, 8.730, 8.598, 8.779, 8.947", "s, s, s, s, s"
train metadata time, 43.684, s
train raw read time per epoch, "8.385, 9.193, 9.275, 9.619, 8.628", "s, s, s, s, s"
train total raw read time, 45.099, s
train raw read rate per epoch, "267.128, 243.662, 241.519, 232.877, 259.633", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 248.964, MB/s
train observed time per epoch, "110.043, 90.210, 94.080, 88.327, 101.338", "s, s, s, s, s"
train observed time, 483.997, s
train observed rate per epoch, "20.658, 25.283, 24.225, 25.832, 22.462", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 23.692, MB/s
train throughput samples per second per epoch, "0.318, 0.388, 0.372, 0.396, 0.345", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.364, samples/s
train throughput stdev samples per second, 0.029, samples/s
train io avg, 23.292, MB/s
train io stdev, 1.841, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.330, 2.838, 2.731, 3.138, 2.782", "s, s, s, s, s"
eval metadata time, 13.818, s
eval raw read time per epoch, "2.490, 2.876, 3.143, 3.212, 2.743", "s, s, s, s, s"
eval total raw read time, 14.465, s
eval raw read rate per epoch, "205.039, 177.383, 162.124, 159.263, 185.966", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 178.510, MB/s
eval observed time per epoch, "63.163, 59.962, 44.540, 56.230, 69.377", "s, s, s, s, s"
eval observed time, 293.271, s
eval observed rate per epoch, "8.274, 8.727, 11.838, 9.319, 7.520", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 9.136, MB/s
eval throughput samples per second per epoch, "0.127, 0.133, 0.180, 0.142, 0.115", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.139, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 8.925, MB/s
eval io stdev, 1.402, MB/s
