metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "11.401, 9.473, 11.056, 9.972, 10.441", "s, s, s, s, s"
train metadata time, 52.342, s
train raw read time per epoch, "13.150, 10.334, 13.042, 11.549, 13.279", "s, s, s, s, s"
train total raw read time, 61.354, s
train raw read rate per epoch, "170.338, 216.769, 171.758, 193.948, 168.690", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 184.301, MB/s
train observed time per epoch, "49.356, 56.945, 50.817, 51.133, 50.164", "s, s, s, s, s"
train observed time, 258.415, s
train observed rate per epoch, "46.920, 40.483, 45.525, 45.235, 46.139", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 44.860, MB/s
train throughput samples per second per epoch, "0.709, 0.615, 0.689, 0.684, 0.698", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.679, samples/s
train throughput stdev samples per second, 0.033, samples/s
train io avg, 43.452, MB/s
train io stdev, 2.128, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.486, 2.401, 2.346, 2.159, 2.228", "s, s, s, s, s"
eval metadata time, 11.620, s
eval raw read time per epoch, "2.488, 3.282, 3.217, 3.146, 3.564", "s, s, s, s, s"
eval total raw read time, 15.697, s
eval raw read rate per epoch, "205.039, 155.448, 158.310, 162.124, 143.051", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 165.466, MB/s
eval observed time per epoch, "14.673, 14.577, 27.838, 14.645, 14.976", "s, s, s, s, s"
eval observed time, 86.708, s
eval observed rate per epoch, "38.263, 38.538, 19.287, 38.344, 37.417", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 34.370, MB/s
eval throughput samples per second per epoch, "0.545, 0.549, 0.287, 0.546, 0.534", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.492, samples/s
eval throughput stdev samples per second, 0.103, samples/s
eval io avg, 31.512, MB/s
eval io stdev, 6.567, MB/s
