metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "10.437, 10.134, 10.424, 10.558, 10.422", "s, s, s, s, s"
train metadata time, 51.975, s
train raw read time per epoch, "10.045, 10.320, 10.519, 10.759, 10.685", "s, s, s, s, s"
train total raw read time, 52.328, s
train raw read rate per epoch, "222.989, 217.046, 212.954, 208.204, 209.646", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 214.168, MB/s
train observed time per epoch, "49.193, 56.684, 50.738, 51.575, 50.094", "s, s, s, s, s"
train observed time, 258.283, s
train observed rate per epoch, "47.080, 40.676, 45.600, 44.836, 46.205", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 44.879, MB/s
train throughput samples per second per epoch, "0.712, 0.617, 0.690, 0.679, 0.699", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.679, samples/s
train throughput stdev samples per second, 0.033, samples/s
train io avg, 43.470, MB/s
train io stdev, 2.093, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.364, 2.434, 2.415, 2.315, 2.236", "s, s, s, s, s"
eval metadata time, 11.763, s
eval raw read time per epoch, "3.027, 3.244, 3.263, 3.225, 3.346", "s, s, s, s, s"
eval total raw read time, 16.105, s
eval raw read rate per epoch, "168.800, 157.355, 156.402, 158.310, 152.588", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 159.129, MB/s
eval observed time per epoch, "14.846, 15.426, 27.958, 14.905, 15.163", "s, s, s, s, s"
eval observed time, 88.298, s
eval observed rate per epoch, "37.774, 36.224, 19.200, 37.610, 36.911", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 33.544, MB/s
eval throughput samples per second per epoch, "0.539, 0.519, 0.286, 0.537, 0.528", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.482, samples/s
eval throughput stdev samples per second, 0.098, samples/s
eval io avg, 30.829, MB/s
eval io stdev, 6.273, MB/s
