metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "11.820, 10.899, 10.310, 12.049, 10.177", "s, s, s, s, s"
train metadata time, 55.255, s
train raw read time per epoch, "14.481, 13.664, 14.836, 14.243, 15.364", "s, s, s, s, s"
train total raw read time, 72.588, s
train raw read rate per epoch, "154.687, 163.936, 150.981, 157.275, 145.793", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 154.534, MB/s
train observed time per epoch, "62.518, 61.451, 63.464, 67.093, 67.841", "s, s, s, s, s"
train observed time, 322.367, s
train observed rate per epoch, "36.779, 37.435, 36.217, 34.210, 33.823", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 35.692, MB/s
train throughput samples per second per epoch, "0.560, 0.570, 0.551, 0.522, 0.516", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.544, samples/s
train throughput stdev samples per second, 0.021, samples/s
train io avg, 34.796, MB/s
train io stdev, 1.356, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.937, 2.501, 2.478, 2.798, 2.553", "s, s, s, s, s"
eval metadata time, 13.267, s
eval raw read time per epoch, "3.350, 3.195, 3.600, 3.310, 3.107", "s, s, s, s, s"
eval total raw read time, 16.562, s
eval raw read rate per epoch, "152.588, 160.217, 142.097, 154.495, 164.031", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 154.958, MB/s
eval observed time per epoch, "31.633, 27.076, 38.866, 29.818, 34.817", "s, s, s, s, s"
eval observed time, 162.209, s
eval observed rate per epoch, "16.874, 19.857, 13.626, 17.948, 15.271", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.716, MB/s
eval throughput samples per second per epoch, "0.253, 0.295, 0.206, 0.268, 0.230", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.250, samples/s
eval throughput stdev samples per second, 0.031, samples/s
eval io avg, 16.028, MB/s
eval io stdev, 1.976, MB/s
