metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "7.523, 12.993, 8.417, 7.066, 8.368", "s, s, s, s, s"
train metadata time, 44.367, s
train raw read time per epoch, "9.645, 23.055, 10.078, 9.986, 8.848", "s, s, s, s, s"
train total raw read time, 61.612, s
train raw read rate per epoch, "232.251, 97.157, 222.264, 224.311, 253.176", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 205.832, MB/s
train observed time per epoch, "53.047, 73.440, 79.842, 101.766, 83.254", "s, s, s, s, s"
train observed time, 391.348, s
train observed rate per epoch, "43.553, 31.187, 28.634, 22.365, 27.438", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 30.636, MB/s
train throughput samples per second per epoch, "0.660, 0.477, 0.438, 0.344, 0.420", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.468, samples/s
train throughput stdev samples per second, 0.105, samples/s
train io avg, 29.939, MB/s
train io stdev, 6.736, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.902, 1.839, 1.743, 2.218, 1.933", "s, s, s, s, s"
eval metadata time, 9.636, s
eval raw read time per epoch, "3.033, 2.876, 3.727, 3.285, 2.999", "s, s, s, s, s"
eval total raw read time, 15.921, s
eval raw read rate per epoch, "168.800, 177.383, 137.329, 155.448, 170.707", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 162.147, MB/s
eval observed time per epoch, "27.651, 49.047, 67.651, 46.039, 70.000", "s, s, s, s, s"
eval observed time, 260.388, s
eval observed rate per epoch, "19.424, 10.721, 7.715, 11.441, 7.451", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 11.351, MB/s
eval throughput samples per second per epoch, "0.289, 0.163, 0.118, 0.174, 0.114", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.172, samples/s
eval throughput stdev samples per second, 0.063, samples/s
eval io avg, 10.991, MB/s
eval io stdev, 4.054, MB/s
