metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "11.443, 10.213, 9.837, 10.154, 9.787", "s, s, s, s, s"
train metadata time, 51.434, s
train raw read time per epoch, "10.813, 12.703, 11.458, 11.293, 11.988", "s, s, s, s, s"
train total raw read time, 58.254, s
train raw read rate per epoch, "207.162, 176.337, 195.488, 198.357, 186.860", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 192.841, MB/s
train observed time per epoch, "48.406, 84.990, 84.885, 69.495, 86.679", "s, s, s, s, s"
train observed time, 374.455, s
train observed rate per epoch, "47.872, 26.866, 26.899, 32.999, 26.333", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 32.194, MB/s
train throughput samples per second per epoch, "0.723, 0.412, 0.412, 0.504, 0.404", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.491, samples/s
train throughput stdev samples per second, 0.122, samples/s
train io avg, 31.419, MB/s
train io stdev, 7.789, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.840, 3.068, 2.281, 2.801, 2.740", "s, s, s, s, s"
eval metadata time, 13.731, s
eval raw read time per epoch, "3.113, 3.406, 2.875, 3.411, 3.690", "s, s, s, s, s"
eval total raw read time, 16.494, s
eval raw read rate per epoch, "164.031, 149.727, 177.383, 149.727, 138.282", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 156.355, MB/s
eval observed time per epoch, "14.874, 54.504, 43.292, 44.961, 29.466", "s, s, s, s, s"
eval observed time, 187.097, s
eval observed rate per epoch, "37.697, 9.621, 12.189, 11.724, 18.173", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 17.881, MB/s
eval throughput samples per second per epoch, "0.538, 0.147, 0.185, 0.178, 0.272", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.264, samples/s
eval throughput stdev samples per second, 0.143, samples/s
eval io avg, 16.881, MB/s
eval io stdev, 9.162, MB/s
