metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "10.356, 9.901, 9.405, 10.423, 8.937", "s, s, s, s, s"
train metadata time, 49.022, s
train raw read time per epoch, "11.041, 12.757, 12.308, 11.597, 9.097", "s, s, s, s, s"
train total raw read time, 56.799, s
train raw read rate per epoch, "202.885, 175.593, 181.995, 193.155, 246.246", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 199.975, MB/s
train observed time per epoch, "70.058, 58.363, 60.421, 62.954, 61.630", "s, s, s, s, s"
train observed time, 313.426, s
train observed rate per epoch, "32.728, 39.472, 38.091, 36.518, 37.323", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 36.826, MB/s
train throughput samples per second per epoch, "0.500, 0.600, 0.579, 0.556, 0.568", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.560, samples/s
train throughput stdev samples per second, 0.034, samples/s
train io avg, 35.870, MB/s
train io stdev, 2.155, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.015, 3.139, 2.028, 2.453, 2.649", "s, s, s, s, s"
eval metadata time, 12.284, s
eval raw read time per epoch, "3.336, 3.209, 3.750, 3.540, 3.764", "s, s, s, s, s"
eval total raw read time, 17.598, s
eval raw read rate per epoch, "152.588, 159.263, 136.375, 144.004, 135.421", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 146.047, MB/s
eval observed time per epoch, "27.153, 15.707, 14.893, 29.162, 15.787", "s, s, s, s, s"
eval observed time, 102.702, s
eval observed rate per epoch, "19.798, 35.518, 37.645, 18.370, 35.323", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 29.330, MB/s
eval throughput samples per second per epoch, "0.295, 0.509, 0.537, 0.274, 0.507", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.424, samples/s
eval throughput stdev samples per second, 0.115, samples/s
eval io avg, 27.164, MB/s
eval io stdev, 7.356, MB/s
