metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "6.333, 7.404, 7.787, 8.180, 7.649", "s, s, s, s, s"
train metadata time, 37.353, s
train raw read time per epoch, "7.813, 9.011, 9.532, 9.455, 9.592", "s, s, s, s, s"
train total raw read time, 45.404, s
train raw read rate per epoch, "229.364, 198.863, 187.999, 189.520, 186.817", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 198.513, MB/s
train observed time per epoch, "44.327, 56.718, 59.317, 74.273, 56.752", "s, s, s, s, s"
train observed time, 291.387, s
train observed rate per epoch, "41.640, 32.331, 30.883, 24.554, 32.311", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 32.344, MB/s
train throughput samples per second per epoch, "0.632, 0.494, 0.472, 0.377, 0.493", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.494, samples/s
train throughput stdev samples per second, 0.081, samples/s
train io avg, 31.587, MB/s
train io stdev, 5.209, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.422, 2.427, 2.860, 2.685, 2.207", "s, s, s, s, s"
eval metadata time, 12.602, s
eval raw read time per epoch, "2.168, 2.855, 3.447, 2.826, 3.466", "s, s, s, s, s"
eval total raw read time, 14.763, s
eval raw read rate per epoch, "235.557, 179.290, 147.819, 180.244, 146.865", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 178.576, MB/s
eval observed time per epoch, "15.231, 22.374, 37.389, 44.851, 41.895", "s, s, s, s, s"
eval observed time, 161.741, s
eval observed rate per epoch, "36.730, 24.285, 14.184, 11.754, 12.609", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.912, MB/s
eval throughput samples per second per epoch, "0.525, 0.358, 0.214, 0.178, 0.191", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.293, samples/s
eval throughput stdev samples per second, 0.133, samples/s
eval io avg, 18.766, MB/s
eval io stdev, 8.485, MB/s
