metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "7.261, 6.128, 6.878, 6.494, 6.521", "s, s, s, s, s"
train metadata time, 33.283, s
train raw read time per epoch, "7.319, 7.217, 6.750, 8.882, 8.412", "s, s, s, s, s"
train total raw read time, 38.580, s
train raw read rate per epoch, "244.835, 248.300, 265.480, 201.752, 213.033", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 234.680, MB/s
train observed time per epoch, "36.799, 42.771, 39.452, 38.871, 39.169", "s, s, s, s, s"
train observed time, 197.063, s
train observed rate per epoch, "50.469, 43.202, 46.959, 47.686, 47.311", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.125, MB/s
train throughput samples per second per epoch, "0.761, 0.655, 0.710, 0.720, 0.715", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.712, samples/s
train throughput stdev samples per second, 0.034, samples/s
train io avg, 45.573, MB/s
train io stdev, 2.172, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.011, 1.285, 1.905, 2.375, 1.797", "s, s, s, s, s"
eval metadata time, 9.373, s
eval raw read time per epoch, "2.600, 2.718, 2.614, 3.851, 2.831", "s, s, s, s, s"
eval total raw read time, 14.614, s
eval raw read rate per epoch, "196.456, 187.873, 195.503, 132.561, 180.244", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 178.995, MB/s
eval observed time per epoch, "13.910, 14.893, 14.074, 14.283, 14.744", "s, s, s, s, s"
eval observed time, 71.904, s
eval observed rate per epoch, "40.577, 37.643, 40.057, 39.411, 38.062", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 39.149, MB/s
eval throughput samples per second per epoch, "0.575, 0.537, 0.568, 0.560, 0.543", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.557, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 35.627, MB/s
eval io stdev, 958.727, KB/s
