metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "9.262, 8.447, 8.823, 8.577, 9.999", "s, s, s, s, s"
train metadata time, 45.108, s
train raw read time per epoch, "8.843, 8.733, 11.693, 8.611, 10.915", "s, s, s, s, s"
train total raw read time, 48.795, s
train raw read rate per epoch, "202.647, 205.203, 153.254, 208.113, 164.173", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 186.679, MB/s
train observed time per epoch, "55.663, 66.630, 73.496, 54.705, 79.160", "s, s, s, s, s"
train observed time, 329.654, s
train observed rate per epoch, "32.959, 27.426, 24.818, 33.549, 23.013", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 28.353, MB/s
train throughput samples per second per epoch, "0.503, 0.420, 0.381, 0.512, 0.354", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.434, samples/s
train throughput stdev samples per second, 0.064, samples/s
train io avg, 27.772, MB/s
train io stdev, 4.074, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.772, 2.842, 2.280, 2.206, 2.724", "s, s, s, s, s"
eval metadata time, 11.825, s
eval raw read time per epoch, "4.773, 4.112, 3.785, 4.699, 4.248", "s, s, s, s, s"
eval total raw read time, 21.618, s
eval raw read rate per epoch, "106.812, 123.978, 134.468, 108.719, 120.162", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 119.305, MB/s
eval observed time per epoch, "46.418, 43.884, 34.279, 32.193, 37.807", "s, s, s, s, s"
eval observed time, 194.580, s
eval observed rate per epoch, "11.346, 12.021, 15.521, 16.568, 14.021", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 13.896, MB/s
eval throughput samples per second per epoch, "0.172, 0.182, 0.233, 0.249, 0.212", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.210, samples/s
eval throughput stdev samples per second, 0.029, samples/s
eval io avg, 13.416, MB/s
eval io stdev, 1.858, MB/s
