metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "12.884, 11.803, 13.155, 16.134, 13.961", "s, s, s, s, s"
train metadata time, 67.938, s
train raw read time per epoch, "12.364, 12.104, 12.584, 9.663, 11.102", "s, s, s, s, s"
train total raw read time, 57.818, s
train raw read rate per epoch, "144.935, 148.051, 142.397, 185.443, 161.416", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 156.448, MB/s
train observed time per epoch, "39.858, 55.758, 55.438, 58.496, 61.887", "s, s, s, s, s"
train observed time, 271.436, s
train observed rate per epoch, "46.465, 32.900, 33.096, 31.326, 29.573", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 34.672, MB/s
train throughput samples per second per epoch, "0.702, 0.502, 0.505, 0.479, 0.452", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.528, samples/s
train throughput stdev samples per second, 0.089, samples/s
train io avg, 33.803, MB/s
train io stdev, 5.708, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "3.166, 3.103, 3.032, 4.205, 3.166", "s, s, s, s, s"
eval metadata time, 16.671, s
eval raw read time per epoch, "5.896, 4.702, 5.638, 4.787, 5.509", "s, s, s, s, s"
eval total raw read time, 26.533, s
eval raw read rate per epoch, "86.784, 108.719, 90.599, 106.812, 92.506", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 97.282, MB/s
eval observed time per epoch, "15.895, 43.137, 38.819, 15.085, 31.920", "s, s, s, s, s"
eval observed time, 144.855, s
eval observed rate per epoch, "35.062, 12.235, 13.643, 37.120, 16.716", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 22.955, MB/s
eval throughput samples per second per epoch, "0.503, 0.185, 0.206, 0.530, 0.251", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.335, samples/s
eval throughput stdev samples per second, 0.150, samples/s
eval io avg, 21.450, MB/s
eval io stdev, 9.604, MB/s
