metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "9.232, 7.346, 8.265, 7.715, 8.921", "s, s, s, s, s"
train metadata time, 41.480, s
train raw read time per epoch, "5.901, 10.134, 7.644, 9.571, 8.603", "s, s, s, s, s"
train total raw read time, 41.853, s
train raw read rate per epoch, "303.666, 176.828, 234.437, 187.236, 208.297", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 222.093, MB/s
train observed time per epoch, "40.414, 40.199, 40.284, 43.490, 42.141", "s, s, s, s, s"
train observed time, 206.526, s
train observed rate per epoch, "45.806, 46.059, 45.958, 42.467, 43.869", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 44.831, MB/s
train throughput samples per second per epoch, "0.693, 0.697, 0.695, 0.644, 0.664", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.679, samples/s
train throughput stdev samples per second, 0.021, samples/s
train io avg, 43.427, MB/s
train io stdev, 1.344, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "3.028, 2.783, 2.331, 2.196, 2.197", "s, s, s, s, s"
eval metadata time, 12.536, s
eval raw read time per epoch, "3.952, 3.247, 4.091, 2.693, 3.496", "s, s, s, s, s"
eval total raw read time, 17.479, s
eval raw read rate per epoch, "128.745, 157.355, 124.931, 189.780, 145.912", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 149.792, MB/s
eval observed time per epoch, "28.128, 15.836, 20.789, 29.351, 27.801", "s, s, s, s, s"
eval observed time, 121.905, s
eval observed rate per epoch, "19.078, 35.202, 26.260, 18.247, 19.313", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 23.620, MB/s
eval throughput samples per second per epoch, "0.284, 0.505, 0.385, 0.273, 0.288", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.347, samples/s
eval throughput stdev samples per second, 0.089, samples/s
eval io avg, 22.204, MB/s
eval io stdev, 5.682, MB/s
