metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "5.750, 6.479, 7.048, 6.716, 7.573", "s, s, s, s, s"
train metadata time, 33.565, s
train raw read time per epoch, "7.682, 7.039, 7.062, 7.081, 6.578", "s, s, s, s, s"
train total raw read time, 35.441, s
train raw read rate per epoch, "233.282, 254.590, 253.770, 253.058, 272.430", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 253.426, MB/s
train observed time per epoch, "41.323, 72.187, 74.760, 87.579, 86.130", "s, s, s, s, s"
train observed time, 361.979, s
train observed rate per epoch, "44.765, 25.276, 24.392, 20.768, 21.122", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.265, MB/s
train throughput samples per second per epoch, "0.678, 0.388, 0.375, 0.320, 0.325", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.417, samples/s
train throughput stdev samples per second, 0.133, samples/s
train io avg, 26.685, MB/s
train io stdev, 8.513, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.910, 1.641, 1.870, 1.594, 1.870", "s, s, s, s, s"
eval metadata time, 8.886, s
eval raw read time per epoch, "3.172, 3.440, 2.896, 3.557, 2.898", "s, s, s, s, s"
eval total raw read time, 15.962, s
eval raw read rate per epoch, "161.171, 148.772, 176.430, 143.051, 176.430", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 161.537, MB/s
eval observed time per epoch, "13.921, 64.208, 66.000, 70.199, 58.067", "s, s, s, s, s"
eval observed time, 272.394, s
eval observed rate per epoch, "40.541, 8.138, 7.912, 7.430, 9.018", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 14.607, MB/s
eval throughput samples per second per epoch, "0.575, 0.125, 0.121, 0.114, 0.138", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.214, samples/s
eval throughput stdev samples per second, 0.180, samples/s
eval io avg, 13.724, MB/s
eval io stdev, 11.537, MB/s
