metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "15.661, 11.005, 14.312, 15.020, 14.634", "s, s, s, s, s"
train metadata time, 70.632, s
train raw read time per epoch, "13.260, 15.002, 13.871, 14.333, 13.724", "s, s, s, s, s"
train total raw read time, 70.190, s
train raw read rate per epoch, "135.142, 119.450, 129.192, 125.027, 130.575", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 127.877, MB/s
train observed time per epoch, "37.593, 56.693, 71.175, 62.567, 75.711", "s, s, s, s, s"
train observed time, 303.739, s
train observed rate per epoch, "49.364, 32.346, 25.643, 29.244, 24.079", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 32.136, MB/s
train throughput samples per second per epoch, "0.745, 0.494, 0.393, 0.448, 0.370", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.490, samples/s
train throughput stdev samples per second, 0.135, samples/s
train io avg, 31.353, MB/s
train io stdev, 8.611, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.863, 2.604, 2.479, 2.239, 3.299", "s, s, s, s, s"
eval metadata time, 12.485, s
eval raw read time per epoch, "4.463, 3.658, 3.615, 1.639, 4.823", "s, s, s, s, s"
eval total raw read time, 18.197, s
eval raw read rate per epoch, "114.440, 139.236, 141.144, 311.851, 105.857", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 162.989, MB/s
eval observed time per epoch, "15.713, 41.530, 58.199, 41.208, 43.671", "s, s, s, s, s"
eval observed time, 200.322, s
eval observed rate per epoch, "35.502, 12.724, 8.997, 12.826, 12.081", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.426, MB/s
eval throughput samples per second per epoch, "0.509, 0.193, 0.137, 0.194, 0.183", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.243, samples/s
eval throughput stdev samples per second, 0.135, samples/s
eval io avg, 15.571, MB/s
eval io stdev, 8.608, MB/s
