metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "5.608, 4.589, 5.815, 5.116, 5.664", "s, s, s, s, s"
train metadata time, 26.791, s
train raw read time per epoch, "7.517, 7.409, 7.247, 8.621, 7.377", "s, s, s, s, s"
train total raw read time, 38.170, s
train raw read rate per epoch, "238.404, 241.869, 247.276, 207.872, 242.910", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 235.666, MB/s
train observed time per epoch, "45.875, 35.151, 33.718, 30.939, 32.881", "s, s, s, s, s"
train observed time, 178.562, s
train observed rate per epoch, "40.194, 52.925, 55.265, 60.445, 56.729", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 53.111, MB/s
train throughput samples per second per epoch, "0.610, 0.797, 0.830, 0.905, 0.852", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.799, samples/s
train throughput stdev samples per second, 0.101, samples/s
train io avg, 51.122, MB/s
train io stdev, 6.437, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.401, 1.309, 1.413, 1.429, 1.585", "s, s, s, s, s"
eval metadata time, 7.138, s
eval raw read time per epoch, "1.919, 3.036, 2.115, 2.002, 2.593", "s, s, s, s, s"
eval total raw read time, 11.665, s
eval raw read rate per epoch, "266.074, 167.847, 241.279, 255.584, 197.410", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 226.139, MB/s
eval observed time per epoch, "12.208, 13.591, 13.242, 13.228, 13.060", "s, s, s, s, s"
eval observed time, 65.328, s
eval observed rate per epoch, "46.904, 41.630, 42.845, 42.896, 43.508", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 43.557, MB/s
eval throughput samples per second per epoch, "0.655, 0.589, 0.604, 0.605, 0.613", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.613, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 39.237, MB/s
eval io stdev, 1.439, MB/s
