metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "7.402, 7.120, 7.318, 7.593, 8.171", "s, s, s, s, s"
train metadata time, 37.604, s
train raw read time per epoch, "7.029, 9.290, 7.718, 9.322, 7.294", "s, s, s, s, s"
train total raw read time, 40.652, s
train raw read rate per epoch, "254.946, 192.887, 232.188, 192.240, 245.696", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 223.592, MB/s
train observed time per epoch, "32.694, 46.589, 50.707, 52.030, 51.191", "s, s, s, s, s"
train observed time, 233.211, s
train observed rate per epoch, "57.065, 39.561, 36.264, 35.318, 35.912", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 40.824, MB/s
train throughput samples per second per epoch, "0.856, 0.601, 0.552, 0.538, 0.547", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.619, samples/s
train throughput stdev samples per second, 0.121, samples/s
train io avg, 39.612, MB/s
train io stdev, 7.727, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.763, 2.461, 2.603, 1.718, 2.385", "s, s, s, s, s"
eval metadata time, 11.931, s
eval raw read time per epoch, "2.257, 2.481, 2.510, 4.138, 2.823", "s, s, s, s, s"
eval total raw read time, 14.210, s
eval raw read rate per epoch, "226.021, 205.993, 203.132, 123.023, 181.197", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 188.448, MB/s
eval observed time per epoch, "14.410, 22.221, 26.725, 29.659, 14.471", "s, s, s, s, s"
eval observed time, 107.485, s
eval observed rate per epoch, "39.029, 24.464, 20.131, 18.049, 38.851", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 28.104, MB/s
eval throughput samples per second per epoch, "0.555, 0.360, 0.299, 0.270, 0.553", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.407, samples/s
eval throughput stdev samples per second, 0.123, samples/s
eval io avg, 26.074, MB/s
eval io stdev, 7.883, MB/s
