metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "61.715, 63.057, 67.596, 71.357, 66.723", "s, s, s, s, s"
train metadata time, 330.449, s
train raw read time per epoch, "90.112, 100.083, 103.236, 101.748, 98.463", "s, s, s, s, s"
train total raw read time, 493.641, s
train raw read rate per epoch, "79.545, 71.620, 69.433, 70.448, 72.799", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 72.769, MB/s
train observed time per epoch, "285.108, 382.451, 359.143, 388.572, 339.524", "s, s, s, s, s"
train observed time, 1754.798, s
train observed rate per epoch, "25.605, 18.998, 20.250, 18.695, 21.438", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 20.997, MB/s
train throughput samples per second per epoch, "0.393, 0.293, 0.312, 0.288, 0.330", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.323, samples/s
train throughput stdev samples per second, 0.038, samples/s
train io avg, 20.680, MB/s
train io stdev, 2.423, MB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "17.590, 18.720, 18.444, 17.956, 15.427", "s, s, s, s, s"
eval metadata time, 88.138, s
eval raw read time per epoch, "24.218, 27.641, 28.350, 28.273, 31.763", "s, s, s, s, s"
eval total raw read time, 140.245, s
eval raw read rate per epoch, "73.433, 63.896, 62.942, 62.942, 56.267", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 64.366, MB/s
eval observed time per epoch, "178.511, 137.029, 134.178, 149.376, 175.173", "s, s, s, s, s"
eval observed time, 774.266, s
eval observed rate per epoch, "10.299, 13.523, 13.820, 12.370, 10.501", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.103, MB/s
eval throughput samples per second per epoch, "0.157, 0.204, 0.209, 0.187, 0.160", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.183, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 11.739, MB/s
eval io stdev, 1.388, MB/s
