metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "38.181, 41.655, 40.467, 40.079, 39.135", "s, s, s, s, s"
train metadata time, 199.517, s
train raw read time per epoch, "38.296, 48.727, 54.305, 53.281, 53.155", "s, s, s, s, s"
train total raw read time, 247.764, s
train raw read rate per epoch, "187.174, 147.104, 131.994, 134.532, 134.850", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 147.131, MB/s
train observed time per epoch, "139.559, 134.387, 138.493, 133.878, 136.387", "s, s, s, s, s"
train observed time, 682.703, s
train observed rate per epoch, "53.337, 55.472, 53.763, 55.690, 54.626", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 54.577, MB/s
train throughput samples per second per epoch, "0.803, 0.833, 0.809, 0.837, 0.821", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.820, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 52.511, MB/s
train io stdev, 873.394, KB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "11.584, 10.891, 13.294, 10.948, 10.259", "s, s, s, s, s"
eval metadata time, 56.975, s
eval raw read time per epoch, "13.565, 14.951, 15.068, 12.755, 11.760", "s, s, s, s, s"
eval total raw read time, 68.100, s
eval raw read rate per epoch, "131.606, 119.209, 118.255, 140.189, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 132.751, MB/s
eval observed time per epoch, "52.299, 50.096, 51.882, 49.680, 51.815", "s, s, s, s, s"
eval observed time, 255.773, s
eval observed rate per epoch, "37.507, 39.320, 37.837, 39.683, 37.892", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 38.447, MB/s
eval throughput samples per second per epoch, "0.535, 0.559, 0.540, 0.564, 0.540", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.548, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 35.046, MB/s
eval io stdev, 746.329, KB/s
