metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "26.432, 28.241, 30.671, 29.408, 27.983", "s, s, s, s, s"
train metadata time, 142.735, s
train raw read time per epoch, "33.990, 42.711, 41.109, 41.541, 42.936", "s, s, s, s, s"
train total raw read time, 202.288, s
train raw read rate per epoch, "210.885, 167.824, 174.364, 172.550, 166.944", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 178.514, MB/s
train observed time per epoch, "113.439, 108.072, 109.136, 109.241, 110.597", "s, s, s, s, s"
train observed time, 550.485, s
train observed rate per epoch, "66.204, 69.656, 68.944, 68.874, 67.988", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 68.333, MB/s
train throughput samples per second per epoch, "0.987, 1.036, 1.026, 1.025, 1.013", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.018, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 65.124, MB/s
train io stdev, 1.080, MB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "7.585, 6.793, 7.158, 8.014, 6.647", "s, s, s, s, s"
eval metadata time, 36.196, s
eval raw read time per epoch, "9.331, 10.038, 10.455, 9.841, 11.521", "s, s, s, s, s"
eval total raw read time, 51.186, s
eval raw read rate per epoch, "191.688, 178.337, 170.707, 181.197, 155.448", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 175.920, MB/s
eval observed time per epoch, "42.224, 42.388, 43.413, 41.640, 42.092", "s, s, s, s, s"
eval observed time, 211.757, s
eval observed rate per epoch, "47.530, 47.324, 46.077, 48.278, 47.697", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 47.381, MB/s
eval throughput samples per second per epoch, "0.663, 0.661, 0.645, 0.672, 0.665", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.661, samples/s
eval throughput stdev samples per second, 0.009, samples/s
eval io avg, 42.320, MB/s
eval io stdev, 593.400, KB/s
