metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "33.678, 33.799, 34.827, 34.653, 34.630", "s, s, s, s, s"
train metadata time, 171.587, s
train raw read time per epoch, "57.270, 68.975, 62.888, 59.764, 64.341", "s, s, s, s, s"
train total raw read time, 313.238, s
train raw read rate per epoch, "125.160, 103.921, 113.980, 119.938, 111.405", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 114.881, MB/s
train observed time per epoch, "137.195, 140.430, 137.745, 139.364, 141.574", "s, s, s, s, s"
train observed time, 696.307, s
train observed rate per epoch, "54.292, 52.993, 54.066, 53.414, 52.549", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 53.463, MB/s
train throughput samples per second per epoch, "0.816, 0.798, 0.813, 0.804, 0.791", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.804, samples/s
train throughput stdev samples per second, 0.009, samples/s
train io avg, 51.479, MB/s
train io stdev, 616.737, KB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "8.266, 6.986, 9.289, 8.828, 7.795", "s, s, s, s, s"
eval metadata time, 41.165, s
eval raw read time per epoch, "15.402, 15.292, 16.721, 16.333, 17.004", "s, s, s, s, s"
eval total raw read time, 80.752, s
eval raw read rate per epoch, "115.395, 116.348, 106.812, 109.672, 104.903", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 111.161, MB/s
eval observed time per epoch, "49.472, 50.755, 53.674, 50.823, 51.671", "s, s, s, s, s"
eval observed time, 256.396, s
eval observed rate per epoch, "39.866, 38.760, 36.458, 38.702, 38.007", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 38.358, MB/s
eval throughput samples per second per epoch, "0.566, 0.552, 0.522, 0.551, 0.542", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.546, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 34.971, MB/s
eval io stdev, 955.888, KB/s
