metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "34.363, 36.477, 34.951, 38.021, 37.893", "s, s, s, s, s"
train metadata time, 181.705, s
train raw read time per epoch, "42.350, 49.327, 45.178, 46.391, 50.784", "s, s, s, s, s"
train total raw read time, 234.029, s
train raw read rate per epoch, "169.257, 145.315, 158.662, 154.511, 141.147", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 153.778, MB/s
train observed time per epoch, "134.880, 129.499, 129.815, 132.862, 135.796", "s, s, s, s, s"
train observed time, 662.851, s
train observed rate per epoch, "55.261, 57.652, 57.506, 56.134, 54.873", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 56.285, MB/s
train throughput samples per second per epoch, "0.830, 0.865, 0.863, 0.843, 0.825", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.845, samples/s
train throughput stdev samples per second, 0.016, samples/s
train io avg, 54.089, MB/s
train io stdev, 1.047, MB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "8.795, 10.093, 9.034, 10.100, 11.106", "s, s, s, s, s"
eval metadata time, 49.129, s
eval raw read time per epoch, "13.830, 13.006, 13.636, 11.990, 11.669", "s, s, s, s, s"
eval total raw read time, 64.132, s
eval raw read rate per epoch, "128.745, 137.329, 130.653, 148.772, 153.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 140.358, MB/s
eval observed time per epoch, "47.191, 50.015, 51.317, 50.107, 52.704", "s, s, s, s, s"
eval observed time, 251.334, s
eval observed rate per epoch, "41.997, 39.390, 38.294, 39.311, 37.191", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 39.237, MB/s
eval throughput samples per second per epoch, "0.593, 0.560, 0.546, 0.559, 0.531", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.558, samples/s
eval throughput stdev samples per second, 0.021, samples/s
eval io avg, 35.697, MB/s
eval io stdev, 1.317, MB/s
