metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "34.952, 36.087, 36.822, 36.291, 37.556", "s, s, s, s, s"
train metadata time, 181.708, s
train raw read time per epoch, "40.526, 54.154, 54.123, 55.122, 55.350", "s, s, s, s, s"
train total raw read time, 259.275, s
train raw read rate per epoch, "176.875, 132.362, 132.439, 130.038, 129.502", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 140.243, MB/s
train observed time per epoch, "214.884, 296.464, 277.492, 214.916, 157.060", "s, s, s, s, s"
train observed time, 1160.816, s
train observed rate per epoch, "34.179, 24.606, 26.321, 34.174, 47.190", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 33.294, MB/s
train throughput samples per second per epoch, "0.521, 0.378, 0.404, 0.521, 0.713", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.507, samples/s
train throughput stdev samples per second, 0.119, samples/s
train io avg, 32.471, MB/s
train io stdev, 7.586, MB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "8.700, 8.491, 9.183, 8.676, 7.637", "s, s, s, s, s"
eval metadata time, 42.688, s
eval raw read time per epoch, "14.260, 15.135, 13.817, 14.932, 14.565", "s, s, s, s, s"
eval total raw read time, 72.708, s
eval raw read rate per epoch, "124.931, 118.255, 128.745, 119.209, 123.023", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 123.362, MB/s
eval observed time per epoch, "75.921, 63.509, 85.397, 65.541, 50.663", "s, s, s, s, s"
eval observed time, 341.030, s
eval observed rate per epoch, "25.098, 30.379, 22.157, 29.367, 38.837", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 29.168, MB/s
eval throughput samples per second per epoch, "0.369, 0.441, 0.328, 0.427, 0.553", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.423, samples/s
eval throughput stdev samples per second, 0.076, samples/s
eval io avg, 27.103, MB/s
eval io stdev, 4.885, MB/s
