metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "31.457, 34.879, 33.570, 35.204, 33.323", "s, s, s, s, s"
train metadata time, 168.432, s
train raw read time per epoch, "42.198, 44.643, 49.392, 46.982, 48.070", "s, s, s, s, s"
train total raw read time, 231.285, s
train raw read rate per epoch, "169.865, 160.561, 145.125, 152.570, 149.114", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 155.447, MB/s
train observed time per epoch, "136.158, 133.105, 130.735, 136.924, 136.791", "s, s, s, s, s"
train observed time, 673.714, s
train observed rate per epoch, "54.721, 56.027, 57.085, 54.403, 54.458", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 55.339, MB/s
train throughput samples per second per epoch, "0.823, 0.841, 0.857, 0.818, 0.819", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.831, samples/s
train throughput stdev samples per second, 0.015, samples/s
train io avg, 53.215, MB/s
train io stdev, 997.605, KB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "6.906, 7.710, 7.595, 6.513, 6.513", "s, s, s, s, s"
eval metadata time, 35.237, s
eval raw read time per epoch, "12.996, 13.850, 15.083, 13.750, 13.807", "s, s, s, s, s"
eval total raw read time, 69.487, s
eval raw read rate per epoch, "137.329, 128.745, 118.255, 129.699, 129.699", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 129.238, MB/s
eval observed time per epoch, "50.603, 49.441, 50.578, 51.615, 52.203", "s, s, s, s, s"
eval observed time, 254.439, s
eval observed rate per epoch, "38.888, 39.894, 38.909, 38.052, 37.583", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 38.665, MB/s
eval throughput samples per second per epoch, "0.553, 0.566, 0.554, 0.542, 0.536", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.550, samples/s
eval throughput stdev samples per second, 0.010, samples/s
eval io avg, 35.227, MB/s
eval io stdev, 676.232, KB/s
