metric, value, unit
operation, dlio,
ranks, 72,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 7.000, GB
train emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
train emulated compute time, 25.840, s
train metadata time per epoch, "24.583, 28.131, 26.357, 27.324, 25.979", "s, s, s, s, s"
train metadata time, 132.373, s
train raw read time per epoch, "37.254, 44.222, 42.566, 39.837, 43.015", "s, s, s, s, s"
train total raw read time, 206.893, s
train raw read rate per epoch, "192.409, 162.090, 168.398, 179.935, 166.641", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 173.895, MB/s
train observed time per epoch, "108.884, 110.021, 109.189, 108.868, 108.884", "s, s, s, s, s"
train observed time, 545.846, s
train observed rate per epoch, "69.111, 68.362, 68.909, 69.122, 69.111", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 68.923, MB/s
train throughput samples per second per epoch, "1.029, 1.018, 1.026, 1.029, 1.029", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.026, samples/s
train throughput stdev samples per second, 0.004, samples/s
train io avg, 65.660, MB/s
train io stdev, 271.097, KB/s
eval total size, 126.000, GB
eval size per rank, 1.750, GB
eval emulated compute time per epoch, "4.522, 4.522, 4.522, 4.522, 4.522", "s, s, s, s, s"
eval emulated compute time, 22.610, s
eval metadata time per epoch, "7.059, 7.208, 8.742, 5.992, 6.249", "s, s, s, s, s"
eval metadata time, 35.249, s
eval raw read time per epoch, "9.620, 8.432, 9.103, 13.288, 11.722", "s, s, s, s, s"
eval total raw read time, 52.164, s
eval raw read rate per epoch, "185.966, 211.715, 196.456, 134.468, 152.588", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 176.682, MB/s
eval observed time per epoch, "41.237, 41.380, 42.482, 42.143, 41.629", "s, s, s, s, s"
eval observed time, 208.870, s
eval observed rate per epoch, "48.809, 48.619, 47.207, 47.633, 48.293", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 48.112, MB/s
eval throughput samples per second per epoch, "0.679, 0.677, 0.659, 0.664, 0.673", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.670, samples/s
eval throughput stdev samples per second, 0.008, samples/s
eval io avg, 42.902, MB/s
eval io stdev, 491.737, KB/s
