metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 252.000, GB
train size per rank, 10.500, GB
train emulated compute time per epoch, "7.752, 7.752, 7.752, 7.752, 7.752", "s, s, s, s, s"
train emulated compute time, 38.760, s
train metadata time per epoch, "53.195, 54.691, 54.462, 54.611, 52.599", "s, s, s, s, s"
train metadata time, 269.558, s
train raw read time per epoch, "79.098, 77.988, 84.463, 76.143, 77.475", "s, s, s, s, s"
train total raw read time, 395.167, s
train raw read rate per epoch, "135.932, 137.867, 127.298, 141.207, 138.779", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.217, MB/s
train observed time per epoch, "284.992, 204.341, 208.826, 182.798, 211.844", "s, s, s, s, s"
train observed time, 1092.800, s
train observed rate per epoch, "38.782, 54.692, 53.473, 61.424, 52.682", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 52.210, MB/s
train throughput samples per second per epoch, "0.589, 0.822, 0.804, 0.919, 0.793", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.786, samples/s
train throughput stdev samples per second, 0.108, samples/s
train io avg, 50.281, MB/s
train io stdev, 6.894, MB/s
eval total size, 63.000, GB
eval size per rank, 2.625, GB
eval emulated compute time per epoch, "6.783, 6.783, 6.783, 6.783, 6.783", "s, s, s, s, s"
eval emulated compute time, 33.915, s
eval metadata time per epoch, "13.885, 9.203, 9.760, 9.729, 10.865", "s, s, s, s, s"
eval metadata time, 53.442, s
eval raw read time per epoch, "53.134, 21.372, 21.781, 21.376, 19.793", "s, s, s, s, s"
eval total raw read time, 137.456, s
eval raw read rate per epoch, "50.544, 124.931, 123.023, 124.931, 135.421", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 112.264, MB/s
eval observed time per epoch, "101.858, 64.705, 67.315, 68.358, 67.837", "s, s, s, s, s"
eval observed time, 370.073, s
eval observed rate per epoch, "28.271, 46.406, 44.406, 43.653, 44.026", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 41.353, MB/s
eval throughput samples per second per epoch, "0.412, 0.649, 0.624, 0.614, 0.619", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.584, samples/s
eval throughput stdev samples per second, 0.087, samples/s
eval io avg, 37.361, MB/s
eval io stdev, 5.539, MB/s
