metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 252.000, GB
train size per rank, 10.500, GB
train emulated compute time per epoch, "7.752, 7.752, 7.752, 7.752, 7.752", "s, s, s, s, s"
train emulated compute time, 38.760, s
train metadata time per epoch, "83.425, 85.781, 98.482, 88.380, 89.486", "s, s, s, s, s"
train metadata time, 445.554, s
train raw read time per epoch, "154.318, 188.742, 195.043, 183.554, 171.035", "s, s, s, s, s"
train total raw read time, 892.692, s
train raw read rate per epoch, "69.674, 56.966, 55.126, 58.576, 62.863", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 60.642, MB/s
train observed time per epoch, "388.953, 381.664, 412.686, 388.195, 420.476", "s, s, s, s, s"
train observed time, 1991.975, s
train observed rate per epoch, "28.205, 28.755, 26.552, 28.262, 26.051", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.564, MB/s
train throughput samples per second per epoch, "0.432, 0.440, 0.407, 0.433, 0.400", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.422, samples/s
train throughput stdev samples per second, 0.016, samples/s
train io avg, 27.027, MB/s
train io stdev, 1.020, MB/s
eval total size, 63.000, GB
eval size per rank, 2.625, GB
eval emulated compute time per epoch, "6.783, 6.783, 6.783, 6.783, 6.783", "s, s, s, s, s"
eval emulated compute time, 33.915, s
eval metadata time per epoch, "26.725, 22.690, 27.369, 23.726, 25.271", "s, s, s, s, s"
eval metadata time, 125.781, s
eval raw read time per epoch, "36.318, 48.154, 37.730, 36.284, 38.262", "s, s, s, s, s"
eval total raw read time, 196.747, s
eval raw read rate per epoch, "73.433, 55.312, 70.571, 73.433, 69.618", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 69.082, MB/s
eval observed time per epoch, "171.543, 184.108, 173.372, 162.289, 168.768", "s, s, s, s, s"
eval observed time, 860.080, s
eval observed rate per epoch, "16.314, 15.158, 16.135, 17.285, 16.594", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.297, MB/s
eval throughput samples per second per epoch, "0.245, 0.228, 0.242, 0.259, 0.249", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.245, samples/s
eval throughput stdev samples per second, 0.010, samples/s
eval io avg, 15.652, MB/s
eval io stdev, 653.154, KB/s
