metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 31.500, GB
train size per rank, 1.312, GB
train emulated compute time per epoch, "0.969, 0.969, 0.969, 0.969, 0.969", "s, s, s, s, s"
train emulated compute time, 4.845, s
train metadata time per epoch, "4.250, 3.399, 3.439, 4.579, 3.149", "s, s, s, s, s"
train metadata time, 18.817, s
train raw read time per epoch, "5.989, 6.351, 6.265, 5.255, 6.245", "s, s, s, s, s"
train total raw read time, 30.106, s
train raw read rate per epoch, "224.401, 211.626, 214.517, 255.743, 215.202", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 224.298, MB/s
train observed time per epoch, "18.887, 14.215, 14.445, 13.634, 13.799", "s, s, s, s, s"
train observed time, 74.979, s
train observed rate per epoch, "75.007, 101.465, 99.735, 106.120, 104.756", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 97.417, MB/s
train throughput samples per second per epoch, "1.112, 1.477, 1.454, 1.540, 1.522", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.421, samples/s
train throughput stdev samples per second, 0.158, samples/s
train io avg, 90.945, MB/s
train io stdev, 10.087, MB/s
eval total size, 6.000, GB
eval size per rank, 256.000, MB
eval emulated compute time per epoch, "0.646, 0.646, 0.646, 0.646, 0.646", "s, s, s, s, s"
eval emulated compute time, 3.230, s
eval metadata time per epoch, "0.717, 0.572, 0.654, 0.716, 0.876", "s, s, s, s, s"
eval metadata time, 3.534, s
eval raw read time per epoch, "1.369, 1.396, 1.050, 1.057, 1.172", "s, s, s, s, s"
eval total raw read time, 6.044, s
eval raw read rate per epoch, "186.920, 183.105, 243.187, 242.232, 218.391", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 214.972, MB/s
eval observed time per epoch, "5.487, 4.320, 3.862, 4.576, 5.190", "s, s, s, s, s"
eval observed time, 23.435, s
eval observed rate per epoch, "52.877, 69.680, 79.606, 65.140, 56.338", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 64.729, MB/s
eval throughput samples per second per epoch, "0.729, 0.926, 1.036, 0.874, 0.771", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.867, samples/s
eval throughput stdev samples per second, 0.110, samples/s
eval io avg, 55.494, MB/s
eval io stdev, 7.030, MB/s
