metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 31.500, GB
train size per rank, 1.312, GB
train emulated compute time per epoch, "0.969, 0.969, 0.969, 0.969, 0.969", "s, s, s, s, s"
train emulated compute time, 4.845, s
train metadata time per epoch, "3.671, 3.075, 4.095, 3.787, 3.512", "s, s, s, s, s"
train metadata time, 18.140, s
train raw read time per epoch, "6.715, 6.902, 6.200, 6.966, 6.806", "s, s, s, s, s"
train total raw read time, 33.589, s
train raw read rate per epoch, "200.141, 194.734, 216.790, 192.927, 197.466", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 200.412, MB/s
train observed time per epoch, "17.885, 16.384, 14.681, 14.138, 16.382", "s, s, s, s, s"
train observed time, 79.469, s
train observed rate per epoch, "79.451, 87.188, 98.016, 102.059, 87.200", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 90.783, MB/s
train throughput samples per second per epoch, "1.174, 1.282, 1.430, 1.485, 1.282", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.331, samples/s
train throughput stdev samples per second, 0.112, samples/s
train io avg, 85.166, MB/s
train io stdev, 7.192, MB/s
eval total size, 6.000, GB
eval size per rank, 256.000, MB
eval emulated compute time per epoch, "0.646, 0.646, 0.646, 0.646, 0.646", "s, s, s, s, s"
eval emulated compute time, 3.230, s
eval metadata time per epoch, "0.850, 0.499, 0.560, 1.124, 0.582", "s, s, s, s, s"
eval metadata time, 3.615, s
eval raw read time per epoch, "1.086, 1.291, 1.132, 0.866, 1.066", "s, s, s, s, s"
eval total raw read time, 5.442, s
eval raw read rate per epoch, "235.557, 197.410, 226.021, 294.685, 239.372", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 239.153, MB/s
eval observed time per epoch, "4.037, 4.274, 4.287, 4.419, 5.041", "s, s, s, s, s"
eval observed time, 22.058, s
eval observed rate per epoch, "75.485, 70.567, 70.311, 67.852, 58.251", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 68.493, MB/s
eval throughput samples per second per epoch, "0.991, 0.936, 0.933, 0.905, 0.794", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.912, samples/s
eval throughput stdev samples per second, 0.065, samples/s
eval io avg, 58.349, MB/s
eval io stdev, 4.177, MB/s
