metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 21.000, GB
train emulated compute time per epoch, "15.504, 15.504, 15.504, 15.504, 15.504", "s, s, s, s, s"
train emulated compute time, 77.520, s
train metadata time per epoch, "120.947, 126.328, 115.863, 121.043, 117.674", "s, s, s, s, s"
train metadata time, 601.856, s
train raw read time per epoch, "235.259, 251.652, 245.907, 235.848, 237.500", "s, s, s, s, s"
train total raw read time, 1206.167, s
train raw read rate per epoch, "91.405, 85.451, 87.447, 91.177, 90.543", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 89.204, MB/s
train observed time per epoch, "452.457, 474.042, 450.174, 441.344, 443.607", "s, s, s, s, s"
train observed time, 2261.625, s
train observed rate per epoch, "49.213, 46.896, 49.472, 50.497, 50.230", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 49.262, MB/s
train throughput samples per second per epoch, "0.743, 0.709, 0.746, 0.761, 0.757", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.743, samples/s
train throughput stdev samples per second, 0.019, samples/s
train io avg, 47.571, MB/s
train io stdev, 1.188, MB/s
eval total size, 126.000, GB
eval size per rank, 5.250, GB
eval emulated compute time per epoch, "13.566, 13.566, 13.566, 13.566, 13.566", "s, s, s, s, s"
eval emulated compute time, 67.830, s
eval metadata time per epoch, "26.705, 29.753, 26.191, 26.885, 28.992", "s, s, s, s, s"
eval metadata time, 138.526, s
eval raw read time per epoch, "59.563, 59.667, 59.911, 55.966, 54.935", "s, s, s, s, s"
eval total raw read time, 290.042, s
eval raw read rate per epoch, "89.645, 89.645, 89.645, 95.367, 97.274", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 92.802, MB/s
eval observed time per epoch, "157.135, 155.444, 147.820, 149.756, 147.478", "s, s, s, s, s"
eval observed time, 757.633, s
eval observed rate per epoch, "37.445, 37.892, 40.043, 39.474, 40.146", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 39.000, MB/s
eval throughput samples per second per epoch, "0.535, 0.540, 0.568, 0.561, 0.570", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.555, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 35.503, MB/s
eval io stdev, 951.389, KB/s
