metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 21.000, GB
train emulated compute time per epoch, "15.504, 15.504, 15.504, 15.504, 15.504", "s, s, s, s, s"
train emulated compute time, 77.520, s
train metadata time per epoch, "223.026, 218.864, 227.137, 219.274, 220.513", "s, s, s, s, s"
train metadata time, 1108.815, s
train raw read time per epoch, "216.696, 242.972, 220.633, 232.962, 230.742", "s, s, s, s, s"
train total raw read time, 1144.006, s
train raw read rate per epoch, "99.235, 88.503, 97.465, 92.307, 93.194", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 94.141, MB/s
train observed time per epoch, "542.872, 584.842, 581.865, 672.147, 637.608", "s, s, s, s, s"
train observed time, 3019.333, s
train observed rate per epoch, "40.775, 37.770, 37.968, 32.748, 34.566", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 36.766, MB/s
train throughput samples per second per epoch, "0.619, 0.575, 0.577, 0.500, 0.527", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.560, samples/s
train throughput stdev samples per second, 0.042, samples/s
train io avg, 35.811, MB/s
train io stdev, 2.668, MB/s
eval total size, 126.000, GB
eval size per rank, 5.250, GB
eval emulated compute time per epoch, "13.566, 13.566, 13.566, 13.566, 13.566", "s, s, s, s, s"
eval emulated compute time, 67.830, s
eval metadata time per epoch, "52.203, 52.283, 51.244, 51.537, 50.125", "s, s, s, s, s"
eval metadata time, 257.392, s
eval raw read time per epoch, "81.520, 58.766, 59.368, 58.380, 61.848", "s, s, s, s, s"
eval total raw read time, 319.882, s
eval raw read rate per epoch, "65.803, 90.599, 89.645, 91.553, 86.784", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 85.397, MB/s
eval observed time per epoch, "206.805, 243.373, 209.580, 236.326, 227.571", "s, s, s, s, s"
eval observed time, 1123.655, s
eval observed rate per epoch, "27.820, 23.393, 27.426, 24.133, 25.120", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 25.578, MB/s
eval throughput samples per second per epoch, "0.406, 0.345, 0.401, 0.355, 0.369", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.375, samples/s
eval throughput stdev samples per second, 0.024, samples/s
eval io avg, 24.021, MB/s
eval io stdev, 1.553, MB/s
