metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 21.000, GB
train emulated compute time per epoch, "15.504, 15.504, 15.504, 15.504, 15.504", "s, s, s, s, s"
train emulated compute time, 77.520, s
train metadata time per epoch, "127.903, 127.363, 125.431, 125.214, 128.053", "s, s, s, s, s"
train metadata time, 633.964, s
train raw read time per epoch, "188.835, 191.247, 188.362, 192.925, 188.393", "s, s, s, s, s"
train total raw read time, 949.762, s
train raw read rate per epoch, "113.877, 112.440, 114.163, 111.463, 114.144", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 113.218, MB/s
train observed time per epoch, "401.358, 399.281, 400.445, 397.419, 398.824", "s, s, s, s, s"
train observed time, 1997.328, s
train observed rate per epoch, "55.730, 56.032, 55.862, 56.305, 56.099", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 56.006, MB/s
train throughput samples per second per epoch, "0.837, 0.842, 0.839, 0.845, 0.842", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.841, samples/s
train throughput stdev samples per second, 0.003, samples/s
train io avg, 53.832, MB/s
train io stdev, 186.965, KB/s
eval total size, 126.000, GB
eval size per rank, 5.250, GB
eval emulated compute time per epoch, "13.566, 13.566, 13.566, 13.566, 13.566", "s, s, s, s, s"
eval emulated compute time, 67.830, s
eval metadata time per epoch, "35.691, 34.609, 35.646, 33.191, 33.825", "s, s, s, s, s"
eval metadata time, 172.961, s
eval raw read time per epoch, "46.500, 46.828, 48.573, 45.678, 48.274", "s, s, s, s, s"
eval total raw read time, 235.853, s
eval raw read rate per epoch, "115.395, 114.440, 110.626, 117.302, 110.626", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 114.030, MB/s
eval observed time per epoch, "137.392, 141.740, 139.711, 140.571, 139.741", "s, s, s, s, s"
eval observed time, 699.154, s
eval observed rate per epoch, "43.415, 41.942, 42.617, 42.328, 42.607", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 42.582, MB/s
eval throughput samples per second per epoch, "0.611, 0.593, 0.601, 0.598, 0.601", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.601, samples/s
eval throughput stdev samples per second, 0.006, samples/s
eval io avg, 38.450, MB/s
eval io stdev, 403.608, KB/s
