metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "13.734, 15.357, 14.808, 16.561, 14.108", "s, s, s, s, s"
train metadata time, 74.568, s
train raw read time per epoch, "10.706, 10.985, 10.174, 11.072, 14.130", "s, s, s, s, s"
train total raw read time, 57.068, s
train raw read rate per epoch, "251.079, 244.690, 264.205, 242.767, 190.228", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 238.594, MB/s
train observed time per epoch, "48.878, 42.500, 44.013, 45.828, 46.710", "s, s, s, s, s"
train observed time, 227.929, s
train observed rate per epoch, "57.265, 66.268, 63.885, 61.244, 60.037", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 61.740, MB/s
train throughput samples per second per epoch, "0.859, 0.988, 0.954, 0.916, 0.899", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.923, samples/s
train throughput stdev samples per second, 0.044, samples/s
train io avg, 59.103, MB/s
train io stdev, 2.848, MB/s
eval total size, 15.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "3.385, 3.488, 2.985, 3.842, 4.914", "s, s, s, s, s"
eval metadata time, 18.615, s
eval raw read time per epoch, "3.784, 4.620, 3.019, 2.955, 3.322", "s, s, s, s, s"
eval total raw read time, 17.700, s
eval raw read rate per epoch, "168.800, 138.282, 211.715, 216.483, 192.642", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 185.771, MB/s
eval observed time per epoch, "14.769, 14.321, 14.416, 12.987, 15.292", "s, s, s, s, s"
eval observed time, 71.785, s
eval observed rate per epoch, "48.654, 50.369, 49.994, 56.277, 46.794", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 50.418, MB/s
eval throughput samples per second per epoch, "0.677, 0.698, 0.694, 0.770, 0.654", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.699, samples/s
eval throughput stdev samples per second, 0.039, samples/s
eval io avg, 44.709, MB/s
eval io stdev, 2.491, MB/s
