metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.884, 11.949, 10.408, 15.066, 16.556", "s, s, s, s, s"
train metadata time, 64.863, s
train raw read time per epoch, "14.016, 16.813, 16.087, 15.324, 15.498", "s, s, s, s, s"
train total raw read time, 77.739, s
train raw read rate per epoch, "191.776, 159.874, 167.092, 175.414, 173.438", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 173.519, MB/s
train observed time per epoch, "31.828, 34.984, 33.270, 36.125, 39.220", "s, s, s, s, s"
train observed time, 175.426, s
train observed rate per epoch, "89.931, 81.341, 85.791, 78.627, 72.099", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 81.558, MB/s
train throughput samples per second per epoch, "1.320, 1.201, 1.262, 1.163, 1.071", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.203, samples/s
train throughput stdev samples per second, 0.085, samples/s
train io avg, 77.006, MB/s
train io stdev, 5.446, MB/s
eval total size, 15.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.482, 2.947, 2.739, 2.246, 2.664", "s, s, s, s, s"
eval metadata time, 13.078, s
eval raw read time per epoch, "2.554, 2.572, 3.711, 2.470, 2.625", "s, s, s, s, s"
eval total raw read time, 13.932, s
eval raw read rate per epoch, "249.862, 247.955, 171.661, 258.445, 243.187", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 234.946, MB/s
eval observed time per epoch, "12.048, 11.491, 12.133, 10.870, 11.557", "s, s, s, s, s"
eval observed time, 58.098, s
eval observed rate per epoch, "61.345, 64.805, 60.849, 69.152, 64.372", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 64.104, MB/s
eval throughput samples per second per epoch, "0.830, 0.870, 0.824, 0.920, 0.865", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.862, samples/s
eval throughput stdev samples per second, 0.034, samples/s
eval io avg, 55.164, MB/s
eval io stdev, 2.196, MB/s
