metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "8.694, 7.762, 8.352, 8.549, 9.218", "s, s, s, s, s"
train metadata time, 42.576, s
train raw read time per epoch, "11.755, 11.794, 12.328, 12.194, 12.301", "s, s, s, s, s"
train total raw read time, 60.373, s
train raw read rate per epoch, "228.660, 227.912, 218.043, 220.431, 218.512", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 222.712, MB/s
train observed time per epoch, "31.041, 32.535, 35.930, 34.978, 39.052", "s, s, s, s, s"
train observed time, 173.536, s
train observed rate per epoch, "92.362, 87.851, 79.078, 81.355, 72.425", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 82.614, MB/s
train throughput samples per second per epoch, "1.353, 1.291, 1.169, 1.201, 1.075", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.218, samples/s
train throughput stdev samples per second, 0.097, samples/s
train io avg, 77.940, MB/s
train io stdev, 6.177, MB/s
eval total size, 15.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.473, 2.508, 1.942, 2.128, 2.772", "s, s, s, s, s"
eval metadata time, 11.822, s
eval raw read time per epoch, "2.861, 2.676, 2.363, 2.613, 3.497", "s, s, s, s, s"
eval total raw read time, 14.010, s
eval raw read rate per epoch, "223.159, 238.418, 269.890, 244.141, 182.151", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 232.334, MB/s
eval observed time per epoch, "11.180, 12.666, 11.529, 12.009, 12.336", "s, s, s, s, s"
eval observed time, 59.720, s
eval observed rate per epoch, "66.907, 57.914, 64.557, 61.574, 59.696", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 62.130, MB/s
eval throughput samples per second per epoch, "0.894, 0.790, 0.867, 0.833, 0.811", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.839, samples/s
eval throughput stdev samples per second, 0.038, samples/s
eval io avg, 53.691, MB/s
eval io stdev, 2.423, MB/s
