metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "8.532, 9.334, 7.997, 8.422, 9.178", "s, s, s, s, s"
train metadata time, 43.463, s
train raw read time per epoch, "11.038, 11.501, 13.042, 12.740, 13.374", "s, s, s, s, s"
train total raw read time, 61.694, s
train raw read rate per epoch, "243.517, 233.726, 206.106, 210.991, 200.991", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 219.066, MB/s
train observed time per epoch, "30.107, 32.108, 34.940, 36.076, 38.225", "s, s, s, s, s"
train observed time, 171.456, s
train observed rate per epoch, "95.423, 89.094, 81.449, 78.739, 74.075", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 83.756, MB/s
train throughput samples per second per epoch, "1.395, 1.308, 1.202, 1.164, 1.099", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.234, samples/s
train throughput stdev samples per second, 0.105, samples/s
train io avg, 78.951, MB/s
train io stdev, 6.748, MB/s
eval total size, 15.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.920, 2.344, 2.145, 2.397, 2.532", "s, s, s, s, s"
eval metadata time, 11.337, s
eval raw read time per epoch, "3.177, 2.325, 3.620, 2.478, 2.761", "s, s, s, s, s"
eval total raw read time, 14.362, s
eval raw read rate per epoch, "201.225, 274.658, 176.430, 257.491, 231.742", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 228.696, MB/s
eval observed time per epoch, "11.428, 12.479, 12.307, 12.275, 13.014", "s, s, s, s, s"
eval observed time, 61.503, s
eval observed rate per epoch, "65.221, 58.907, 59.856, 60.038, 56.146", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 60.033, MB/s
eval throughput samples per second per epoch, "0.875, 0.801, 0.813, 0.815, 0.768", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.814, samples/s
eval throughput stdev samples per second, 0.035, samples/s
eval io avg, 52.121, MB/s
eval io stdev, 2.211, MB/s
