metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "8.374, 9.477, 7.623, 8.727, 8.061", "s, s, s, s, s"
train metadata time, 42.263, s
train raw read time per epoch, "10.927, 10.962, 12.415, 11.093, 12.324", "s, s, s, s, s"
train total raw read time, 57.720, s
train raw read rate per epoch, "246.005, 245.215, 216.520, 242.311, 218.116", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 233.633, MB/s
train observed time per epoch, "31.669, 36.062, 35.985, 37.309, 37.092", "s, s, s, s, s"
train observed time, 178.117, s
train observed rate per epoch, "90.409, 78.770, 78.949, 75.994, 76.463", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 80.117, MB/s
train throughput samples per second per epoch, "1.326, 1.165, 1.167, 1.126, 1.132", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.183, samples/s
train throughput stdev samples per second, 0.073, samples/s
train io avg, 75.726, MB/s
train io stdev, 4.697, MB/s
eval total size, 15.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.092, 2.392, 1.795, 2.445, 2.099", "s, s, s, s, s"
eval metadata time, 10.823, s
eval raw read time per epoch, "3.229, 2.509, 2.252, 1.706, 2.092", "s, s, s, s, s"
eval total raw read time, 11.788, s
eval raw read rate per epoch, "197.410, 254.631, 283.241, 374.794, 305.176", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 283.719, MB/s
eval observed time per epoch, "10.878, 11.559, 10.367, 11.856, 11.492", "s, s, s, s, s"
eval observed time, 56.151, s
eval observed rate per epoch, "69.091, 64.362, 73.129, 62.495, 64.798", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 66.774, MB/s
eval throughput samples per second per epoch, "0.919, 0.865, 0.965, 0.843, 0.870", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.893, samples/s
eval throughput stdev samples per second, 0.044, samples/s
eval io avg, 57.122, MB/s
eval io stdev, 2.800, MB/s
