metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "16.948, 19.362, 19.803, 19.904, 21.111", "s, s, s, s, s"
train metadata time, 97.128, s
train raw read time per epoch, "24.968, 28.073, 31.510, 31.589, 33.234", "s, s, s, s, s"
train total raw read time, 149.375, s
train raw read rate per epoch, "215.317, 191.502, 170.611, 170.184, 161.759", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 181.875, MB/s
train observed time per epoch, "75.005, 73.661, 76.933, 75.553, 77.024", "s, s, s, s, s"
train observed time, 378.176, s
train observed rate per epoch, "75.580, 77.037, 73.585, 75.003, 73.495", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 74.940, MB/s
train throughput samples per second per epoch, "1.120, 1.140, 1.092, 1.112, 1.091", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.111, samples/s
train throughput stdev samples per second, 0.019, samples/s
train io avg, 71.098, MB/s
train io stdev, 1.188, MB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "4.607, 4.138, 4.931, 4.147, 5.426", "s, s, s, s, s"
eval metadata time, 23.250, s
eval raw read time per epoch, "6.648, 7.157, 6.583, 6.819, 6.791", "s, s, s, s, s"
eval total raw read time, 33.998, s
eval raw read rate per epoch, "191.688, 178.337, 193.596, 186.920, 187.873", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 188.402, MB/s
eval observed time per epoch, "26.002, 24.843, 25.231, 26.628, 25.734", "s, s, s, s, s"
eval observed time, 128.438, s
eval observed rate per epoch, "56.209, 59.224, 58.179, 54.705, 56.878", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 57.039, MB/s
eval throughput samples per second per epoch, "0.769, 0.805, 0.793, 0.751, 0.777", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.779, samples/s
eval throughput stdev samples per second, 0.019, samples/s
eval io avg, 49.857, MB/s
eval io stdev, 1.195, MB/s
