metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "16.742, 17.827, 18.715, 17.941, 18.430", "s, s, s, s, s"
train metadata time, 89.655, s
train raw read time per epoch, "25.575, 28.504, 31.272, 33.460, 31.329", "s, s, s, s, s"
train total raw read time, 150.141, s
train raw read rate per epoch, "210.205, 188.604, 171.911, 160.667, 171.596", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 180.597, MB/s
train observed time per epoch, "74.919, 73.626, 76.290, 75.660, 76.832", "s, s, s, s, s"
train observed time, 377.327, s
train observed rate per epoch, "75.672, 77.075, 74.239, 74.891, 73.688", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 75.113, MB/s
train throughput samples per second per epoch, "1.121, 1.141, 1.101, 1.110, 1.093", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.113, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 71.253, MB/s
train io stdev, 1.064, MB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "3.789, 3.880, 3.947, 3.521, 3.435", "s, s, s, s, s"
eval metadata time, 18.573, s
eval raw read time per epoch, "8.431, 7.511, 7.958, 8.225, 8.697", "s, s, s, s, s"
eval total raw read time, 40.822, s
eval raw read rate per epoch, "151.634, 169.754, 160.217, 155.448, 146.865", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 157.177, MB/s
eval observed time per epoch, "25.101, 25.670, 24.782, 26.604, 26.029", "s, s, s, s, s"
eval observed time, 128.186, s
eval observed rate per epoch, "58.524, 57.041, 59.391, 54.762, 56.143", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 57.172, MB/s
eval throughput samples per second per epoch, "0.797, 0.779, 0.807, 0.752, 0.768", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.781, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 49.959, MB/s
eval io stdev, 1.262, MB/s
