metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "31.810, 22.070, 23.173, 20.921, 21.378", "s, s, s, s, s"
train metadata time, 119.351, s
train raw read time per epoch, "30.652, 26.416, 27.450, 25.466, 27.731", "s, s, s, s, s"
train total raw read time, 137.715, s
train raw read rate per epoch, "175.386, 203.516, 195.845, 211.108, 193.859", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 195.942, MB/s
train observed time per epoch, "153.951, 146.797, 143.466, 139.434, 119.732", "s, s, s, s, s"
train observed time, 703.381, s
train observed rate per epoch, "35.821, 37.614, 38.513, 39.658, 46.402", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 39.602, MB/s
train throughput samples per second per epoch, "0.546, 0.572, 0.586, 0.602, 0.702", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.601, samples/s
train throughput stdev samples per second, 0.053, samples/s
train io avg, 38.493, MB/s
train io stdev, 3.416, MB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "6.634, 5.675, 6.240, 5.959, 5.848", "s, s, s, s, s"
eval metadata time, 30.356, s
eval raw read time per epoch, "7.636, 7.170, 8.729, 23.011, 8.494", "s, s, s, s, s"
eval total raw read time, 55.040, s
eval raw read rate per epoch, "166.893, 178.337, 145.912, 55.312, 150.680", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 139.823, MB/s
eval observed time per epoch, "41.215, 29.308, 30.553, 62.727, 47.452", "s, s, s, s, s"
eval observed time, 211.255, s
eval observed rate per epoch, "33.697, 49.082, 46.847, 21.513, 28.944", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 36.017, MB/s
eval throughput samples per second per epoch, "0.485, 0.682, 0.655, 0.319, 0.421", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.513, samples/s
eval throughput stdev samples per second, 0.138, samples/s
eval io avg, 32.801, MB/s
eval io stdev, 8.849, MB/s
