metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "22.983, 24.539, 30.984, 24.295, 24.236", "s, s, s, s, s"
train metadata time, 127.037, s
train raw read time per epoch, "26.545, 26.122, 38.756, 26.812, 26.365", "s, s, s, s, s"
train total raw read time, 144.600, s
train raw read rate per epoch, "202.524, 205.804, 138.713, 200.505, 203.905", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 190.290, MB/s
train observed time per epoch, "168.660, 194.690, 203.868, 196.924, 183.336", "s, s, s, s, s"
train observed time, 947.477, s
train observed rate per epoch, "32.624, 28.174, 26.881, 27.848, 29.956", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 29.097, MB/s
train throughput samples per second per epoch, "0.498, 0.431, 0.412, 0.427, 0.458", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.445, samples/s
train throughput stdev samples per second, 0.030, samples/s
train io avg, 28.496, MB/s
train io stdev, 1.940, MB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "7.556, 7.666, 6.566, 7.906, 8.184", "s, s, s, s, s"
eval metadata time, 37.878, s
eval raw read time per epoch, "6.611, 7.665, 7.868, 8.509, 9.299", "s, s, s, s, s"
eval total raw read time, 39.952, s
eval raw read rate per epoch, "193.596, 166.893, 162.124, 149.727, 137.329", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 162.274, MB/s
eval observed time per epoch, "53.243, 45.168, 70.299, 59.159, 45.416", "s, s, s, s, s"
eval observed time, 273.284, s
eval observed rate per epoch, "25.593, 30.521, 19.084, 22.886, 30.342", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 25.686, MB/s
eval throughput samples per second per epoch, "0.376, 0.443, 0.284, 0.338, 0.440", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.376, samples/s
eval throughput stdev samples per second, 0.061, samples/s
eval io avg, 24.081, MB/s
eval io stdev, 3.884, MB/s
