metric, value, unit
operation, dlio,
ranks, 24,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 126.000, GB
train size per rank, 5.250, GB
train emulated compute time per epoch, "3.876, 3.876, 3.876, 3.876, 3.876", "s, s, s, s, s"
train emulated compute time, 19.380, s
train metadata time per epoch, "28.588, 27.125, 31.115, 26.072, 29.860", "s, s, s, s, s"
train metadata time, 142.759, s
train raw read time per epoch, "28.242, 27.701, 33.781, 26.494, 28.159", "s, s, s, s, s"
train total raw read time, 144.376, s
train raw read rate per epoch, "190.356, 194.072, 159.145, 202.911, 190.916", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 187.479, MB/s
train observed time per epoch, "91.943, 100.434, 130.581, 130.688, 122.589", "s, s, s, s, s"
train observed time, 576.234, s
train observed rate per epoch, "61.044, 55.676, 42.429, 42.393, 45.285", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 49.365, MB/s
train throughput samples per second per epoch, "0.914, 0.836, 0.643, 0.643, 0.685", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.744, samples/s
train throughput stdev samples per second, 0.111, samples/s
train io avg, 47.631, MB/s
train io stdev, 7.077, MB/s
eval total size, 30.000, GB
eval size per rank, 1.250, GB
eval emulated compute time per epoch, "3.230, 3.230, 3.230, 3.230, 3.230", "s, s, s, s, s"
eval emulated compute time, 16.150, s
eval metadata time per epoch, "7.313, 5.814, 6.378, 5.978, 6.582", "s, s, s, s, s"
eval metadata time, 32.065, s
eval raw read time per epoch, "7.730, 9.010, 8.618, 9.448, 8.537", "s, s, s, s, s"
eval total raw read time, 43.342, s
eval raw read rate per epoch, "164.985, 141.144, 147.819, 135.421, 149.727", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 148.320, MB/s
eval observed time per epoch, "42.002, 49.017, 29.294, 40.062, 27.435", "s, s, s, s, s"
eval observed time, 187.809, s
eval observed rate per epoch, "33.014, 27.955, 49.109, 34.752, 52.881", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 39.542, MB/s
eval throughput samples per second per epoch, "0.476, 0.408, 0.683, 0.499, 0.729", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.559, samples/s
eval throughput stdev samples per second, 0.124, samples/s
eval io avg, 35.777, MB/s
eval io stdev, 7.964, MB/s
